batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
624413,-0.08077365079365084,0.021517397739990285,200.0,504.0,972.0,R,286.3636363636364,high,0.014857842364673413
624424,0.06429958521870288,-0.0379112799832379,78.0,408.0,1001.0,L,130.96296296296296,high,-0.026253501145267144
624428,-0.03504592074592072,-0.022767966519792404,66.0,390.0,788.0,L,112.89473684210525,high,-0.026253501145267144
624431,-0.04973508951989966,0.024039522201601216,79.0,222.0,396.0,R,116.53156146179401,medium,0.014857842364673413
624512,0.021920731707317065,-0.03009990575145971,16.0,123.0,179.0,L,28.316546762589926,medium,-0.026253501145267144
624585,0.0034141504510549203,0.0240316415494522,51.0,263.0,986.0,R,85.43312101910827,high,0.014857842364673413
624641,0.09206321839080456,0.010269231378483401,116.0,141.0,412.0,R,127.284046692607,medium,0.014857842364673413
628451,0.07323435504469991,0.01816263660115719,135.0,58.0,413.0,R,81.139896373057,medium,0.014857842364673413
630105,-0.003095862782894254,-0.03254885434855137,161.0,348.0,794.0,L,220.14931237721024,high,-0.026253501145267144
640902,-0.039123993558776105,0.022212211685270822,23.0,54.0,11.0,R,32.25974025974026,low,0.014857842364673413
641313,0.0008913398692810548,0.01614312803369833,17.0,72.0,1050.0,R,27.505617977528093,high,0.014857842364673413
641343,-0.08033411764705878,-0.036769737662992075,17.0,200.0,365.0,L,31.336405529953915,medium,-0.026253501145267144
641355,0.10875901499335738,-0.030460488703273447,176.0,479.0,1294.0,L,257.41679389312975,high,-0.026253501145267144
641487,-0.02438634630053399,-0.031053235602716667,210.0,437.0,1032.0,L,283.6785162287481,high,-0.026253501145267144
641555,0.030174297188755028,-0.03643848272088723,15.0,83.0,0.0,L,25.408163265306122,low,-0.026253501145267144
641584,-0.031034146341463453,-0.03420997451855301,11.0,205.0,229.0,L,20.87962962962963,medium,-0.026253501145267144
641598,0.06352527684159848,0.02662272537484811,155.0,134.0,692.0,R,143.73702422145328,high,0.014857842364673413
641658,-0.020299999999999985,0.02275575612643388,38.0,50.0,645.0,R,43.18181818181818,high,0.014857842364673413
641680,-0.004253636363636404,0.004543896824722116,132.0,300.0,429.0,L,183.33333333333331,medium,-0.026253501145267144
641857,-0.07754595063239494,-0.03621204820144569,129.0,456.0,980.0,L,201.1076923076923,high,-0.026253501145267144
