model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted
trailing_xwoba,low,xwoba,384,32750.0,32488.0,0.051476300668772804,,,0.10721983396756911,0.17294277164727961
trailing_xwoba,medium,xwoba,280,37853.0,37481.0,0.04091337976629178,,,0.38203256965741184,0.4184023736705954
trailing_xwoba,high,xwoba,493,111557.0,110567.0,0.03302355057009116,,,0.5750442003192318,0.6038742147342732
trailing_xwoba,all,xwoba,1157,182160.0,180536.0,0.03862973561680182,,,0.4139523261207405,0.5372060551242511
no_info_league_average,low,woba,384,32750.0,32561.0,0.06347995461094037,0.05153512293418807,0.037065290253351216,0.06824824866611996,0.017749656752550236
no_info_league_average,medium,woba,280,37853.0,37596.0,0.05040697684232601,0.04243660924372465,0.027202895255435837,0.04279642510812054,-0.08671107186790188
no_info_league_average,high,woba,493,111557.0,110811.0,0.04595135199120354,0.03343467488451469,0.03152220273372862,0.016373705542318692,-0.023763794830048226
no_info_league_average,all,woba,1157,182160.0,180968.0,0.05045644518740856,0.03919813585330008,0.0317704108657127,0.006976601544964625,-0.06902528596487606
no_info_league_average,low,xwoba,384,32750.0,32488.0,0.051315670936187295,,,-0.017539443501485057,-0.03746072021801804
no_info_league_average,medium,xwoba,280,37853.0,37481.0,0.04404117632130253,,,0.012978135861165979,-0.09566400458437599
no_info_league_average,high,xwoba,493,111557.0,110567.0,0.043687872556113644,,,0.04512462019221892,-0.015809122349420168
no_info_league_average,all,xwoba,1157,182160.0,180536.0,0.04522688632365558,,,-0.03482599126082719,-0.09453341788610577
gbm_outcome,low,woba,384,32750.0,32561.0,0.06041021440957923,0.05153512293418807,0.03152023332987015,0.08463756303341054,0.07231795087773565
gbm_outcome,medium,woba,280,37853.0,37596.0,0.04898952132540689,0.04243660924372465,0.024476670435088187,0.2731148009672604,0.23390946510998842
gbm_outcome,high,woba,493,111557.0,110811.0,0.03926607970478663,0.03343467488451469,0.02058998617652423,0.44232096191752174,0.4695665823355332
gbm_outcome,all,woba,1157,182160.0,180968.0,0.045818260998618424,0.03919813585330008,0.023723810540546585,0.32597721143228925,0.4012342630050578
gbm_outcome,low,xwoba,384,32750.0,32488.0,0.04839959964848573,,,0.08713418870697566,0.10330720112795515
gbm_outcome,medium,xwoba,280,37853.0,37481.0,0.04206785679063815,,,0.3704145278820976,0.2871903082913453
gbm_outcome,high,xwoba,493,111557.0,110567.0,0.03442504603492602,,,0.5268705092385526,0.5243227008734659
