batter,embedding_index,name,stand
571757,670,Jeremy Hazelbaker,L
571761,671,Slade Heathcott,L
571771,672,Enrique Hernández,R
571788,673,Brock Holt,L
571812,674,Kyle Jensen,R
571825,675,James Jones,L
571830,676,Tommy Joseph,R
571841,677,Ty Kelly,L
571851,678,Spencer Kieboom,R
571868,679,Marc Krauss,L
571875,680,Jake Lamb,L
571912,681,Luke Maile,R
571918,682,Deven Marrero,R
571927,683,Steven Matz,R
571945,684,Miles Mikolas,R
571946,685,Shelby Miller,R
571963,686,A. J. Morris,R
571970,687,Max Muncy,L
571974,688,J. R. Murphy,R
571976,689,Wil Myers,R
571980,690,Tyler Naquin,L
572000,691,Mike Ohlman,R
572008,692,Chris Owings,R
572019,693,Ben Paulsen,L
572033,694,Josh Phegley,R
572039,695,Stephen Piscotty,R
572041,696,Aj Pollock,R
572070,697,Garrett Richards,R
572073,698,Joey Rickard,R
572114,699,Ryan Schimpf,L
572122,700,Kyle Seager,L
572128,701,Richie Shaffer,R
572138,702,Jon Singleton,L
572180,703,Andrew Susac,R
572182,704,Darnell Sweeney,L
572191,705,Michael Taylor,R
572204,706,Trayce Thompson,R
572227,707,Zach Vincej,R
572228,708,Luke Voit,R
572233,709,Christian Walker,R
572241,710,David Washington,L
572287,711,Mike Zunino,R
572309,712,Kendry Flores,R
572365,713,Ryan Goins,L
572669,714,Lane Adams,R
572761,715,Matt Carpenter,L
572804,716,Cody Decker,R
572816,717,Corey Dickerson,L
572821,718,Brian Dozier,R
572863,719,Dustin Garneau,R
573088,720,Cameron Perkins,R
573113,721,Tony Renda,R
573131,722,Darin Ruf,R
573135,723,Tyler Saladino,R
573185,724,Dan Straily,R
573186,725,Marcus Stroman,R
573262,726,Mike Yastrzemski,L
573627,727,Kennys Vargas,L
574831,728,Michael Choice,R
574847,729,Rob Segedin,R
575929,730,Willson Contreras,R
576397,731,Jedd Gyorko,R
576788,732,Dan Butler,R
578428,733,Jose Iglesias,R
578570,734,Juniel Querecuto,L
581527,735,Devon Travis,R
582473,736,Sherman Johnson,L
588751,737,Adeiny Hechavarría,R
591712,738,Óscar Hernández,R
591720,739,Ronald Torreyes,R
591741,740,José Osuna,R
591971,741,Breyvic Valera,L
591994,742,Willy García,R
592120,743,Barrett Astin,R
592122,744,Tyler Austin,R
592144,745,Wynton Bernard,R
592166,746,Ryan Brett,R
592178,747,Kris Bryant,R
592192,748,Mark Canha,R
592200,749,Curt Casali,R
592206,750,Nick Castellanos,R
592230,751,Kaleb Cowart,L
592239,752,Todd Cunningham,L
592261,753,Delino Deshields,R
592273,754,Brandon Drury,R
592274,755,Matt Duffy,R
592314,756,Mike Foltynewicz,R
592325,757,Ben Gamel,L
592332,758,Kevin Gausman,L
592348,759,Niko Goodrum,L
592351,760,Jon Gray,R
592387,761,Ryon Healy,R
592407,762,Bryan Holaday,R
592419,763,Jared Hoying,L
592444,764,Jacoby Jones,R
592450,765,Aaron Judge,R
592518,766,Manny Machado,R
592530,767,José Marmolejos,L
592567,768,Colin Moran,L
592592,769,Brett Nicholas,L
592596,770,Rico Noel,R
592609,771,Mike Olt,R
592620,772,Jarrett Parker,L
592621,773,Kyle Parker,R
592622,774,Mark Payton,L
592626,775,Joc Pederson,L
592647,776,Dalton Pompey,L
592656,777,Henry Ramos,L
592660,778,Rangel Ravelo,R
592662,779,Robbie Ray,L
592663,780,J. T. Realmuto,R
592669,781,Hunter Renfroe,R
592680,782,Yadiel Rivera,R
592685,783,Drew Robinson,L
592696,784,Eddie Rosario,L
592710,785,Josh Rutledge,R
592731,786,Steve Selsky,R
592741,787,Chasen Shreve,L
592743,788,Andrelton Simmons,R
592769,789,D. J. Snelten,L
592774,790,Cody Stanley,L
592789,791,Noah Syndergaard,L
592791,792,Jameson Taillon,R
592808,793,Andrew Toles,L
592835,794,Kyle Waldrop,L
592836,795,Taijuan Walker,R
592859,796,Stevie Wilkerson,L
592863,797,Mason Williams,L
592866,798,Trevor Williams,R
592885,799,Christian Yelich,L
593160,800,Whit Merrifield,R
593372,801,Carlos Martínez,R
593428,802,Xander Bogaerts,R
593495,803,Daniel Castro,R
593523,804,Marco Hernández,L
593525,805,Orlando Calixte,R
593527,806,Ramón Torres,L
593528,807,Jorge Bonifacio,R
593590,808,Webster Rivas,R
593643,809,Hanser Alberto,R
