head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
spray,count,2-1,bin_9,7801,0.03820023073964876,0.04040150974435215,0.002201279004703391,0.057624756764064276
spray,count,2-1,bin_10,7801,0.036918343802076654,0.040637712303109474,0.00371936850103282,0.10074581137693414
spray,count,2-1,bin_11,7801,0.045122420202538135,0.04232155060002344,-0.0028008696025146954,-0.06207268116254869
spray,count,2-1,bin_12,7801,0.04140494808357903,0.0425110700073867,0.0011061219238076708,0.026714727949299195
spray,count,2-1,bin_13,7801,0.042302268939879505,0.041542879851309805,-0.0007593890885696994,-0.017951497817976437
spray,count,2-1,bin_14,7801,0.04012306114600692,0.04085085374190224,0.0007277925958953171,0.018139009714311084
spray,count,2-1,bin_15,7801,0.037302909883348286,0.0406527395420894,0.003349829658741116,0.08980076002693968
spray,count,2-1,bin_16,7801,0.03832841943340597,0.04003914934671428,0.001710729913308305,0.04463345837363909
spray,count,2-1,bin_17,7801,0.04243045763363671,0.040229728389894824,-0.0022007292437418863,-0.05186673362667812
spray,count,2-1,bin_18,7801,0.044481476733752086,0.04073157551410527,-0.0037499012196468146,-0.08430253433563342
spray,count,2-1,bin_19,7801,0.04627611844635303,0.04095284018919995,-0.005323278257153077,-0.1150329464932165
spray,count,2-1,bin_20,7801,0.04255864632739392,0.04105613247726182,-0.0015025138501321006,-0.03530454983397746
spray,count,2-1,bin_21,7801,0.04614792975259582,0.04194315984322,-0.004204769909375822,-0.09111502795289107
spray,count,2-1,bin_22,7801,0.04601974105883861,0.043244453662117786,-0.002775287396720824,-0.06030645398835418
spray,count,2-1,bin_23,7801,0.053198307909242404,0.047655912881776764,-0.0055423950274656394,-0.10418367134761314
spray,count,2-2,bin_0,14103,0.04991845706587251,0.0499945992858773,7.614222000479343e-05,0.0015253320010335252
spray,count,2-2,bin_1,14103,0.042544139544777704,0.04375997395277707,0.0012158344079993694,0.02857818776002518
spray,count,2-2,bin_2,14103,0.03970786357512586,0.041678452061339924,0.0019705884862140643,0.049627159680494554
