batter,in_e5,in_f5,in_intersection,denom_L,denom_R,stand,stratum,pooled_denom,post_selection_descriptive
669222,True,True,True,73.0,191.0,R,medium,264,True
669224,True,True,True,77.0,336.0,L,low,413,True
669234,True,True,True,61.0,169.0,R,low,230,True
669242,True,True,True,36.0,117.0,L,high,153,True
669257,True,True,True,148.0,390.0,R,high,538,True
669261,True,True,True,37.0,237.0,L,medium,274,True
669289,True,True,True,127.0,259.0,R,medium,386,True
669304,True,True,True,140.0,288.0,R,medium,428,True
669326,False,True,False,,,,,12,True
669352,False,True,False,,,,,18,True
669357,True,True,True,113.0,288.0,L,low,401,True
669364,True,True,True,93.0,208.0,L,low,301,True
669369,True,True,True,35.0,35.0,R,low,70,True
669374,False,True,False,,,,,27,True
669394,True,True,True,183.0,394.0,R,medium,577,True
669397,True,True,True,39.0,63.0,R,medium,102,True
669477,True,True,True,49.0,64.0,R,medium,113,True
669699,False,True,False,,,,,67,True
669701,True,True,True,139.0,450.0,L,low,589,True
669707,True,True,True,122.0,324.0,R,low,446,True
669720,True,True,True,88.0,165.0,R,high,253,True
669743,True,True,True,36.0,77.0,R,medium,113,True
669911,True,True,True,146.0,309.0,L,low,455,True
670032,True,True,True,64.0,375.0,L,high,439,True
670042,True,True,True,81.0,372.0,L,low,453,True
670092,False,True,False,,,,,29,True
670097,True,True,True,25.0,60.0,R,medium,85,True
670156,True,True,True,16.0,90.0,L,low,106,True
670223,False,True,False,,,,,27,True
670224,False,True,False,,,,,15,True
670242,True,True,True,44.0,217.0,L,low,261,True
670276,False,True,False,,,,,27,True
670541,True,True,True,208.0,411.0,L,high,619,True
670623,True,True,True,159.0,480.0,R,medium,639,True
670764,True,True,True,56.0,196.0,L,medium,252,True
670770,True,True,True,80.0,259.0,L,medium,339,True
670869,False,True,False,,,,,16,True
671056,True,True,True,84.0,174.0,R,low,258,True
671083,True,True,True,14.0,12.0,R,low,26,True
671117,False,True,False,,,,,14,True
671213,True,True,True,61.0,178.0,L,medium,239,True
671218,True,True,True,121.0,395.0,R,low,516,True
671221,False,True,False,,,,,19,True
671277,True,True,True,114.0,412.0,L,medium,526,True
671286,True,True,True,25.0,15.0,R,low,40,True
671289,True,True,True,134.0,245.0,R,low,379,True
671732,True,True,True,89.0,362.0,L,low,451,True
671739,True,True,True,146.0,323.0,L,medium,469,True
672012,False,True,False,,,,,57,True
672275,True,True,True,97.0,350.0,L,low,447,True
672279,True,True,True,101.0,222.0,L,low,323,True
672284,True,True,True,72.0,375.0,L,medium,447,True
672356,True,True,True,65.0,96.0,R,medium,161,True
672386,True,True,True,100.0,285.0,R,medium,385,True
672515,True,True,True,119.0,231.0,R,medium,350,True
672569,True,True,True,10.0,38.0,L,low,48,True
672580,True,True,True,158.0,464.0,R,medium,622,True
672640,True,True,True,135.0,296.0,R,low,431,True
672642,True,True,True,11.0,34.0,L,low,45,True
672695,True,True,True,116.0,265.0,L,medium,381,True
672724,False,True,False,,,,,11,True
672744,False,True,False,,,,,28,True
672761,True,True,True,96.0,327.0,L,low,423,True
672820,True,True,True,119.0,247.0,R,low,366,True
673237,True,True,True,169.0,449.0,R,low,618,True
673357,True,True,True,106.0,316.0,R,medium,422,True
673490,True,True,True,129.0,333.0,R,high,462,True
