batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
665926,-0.05961834075540165,-0.031143153474380292,86.0,282.0,556.0,L,131.80434782608697,high,-0.026253501145267144
665953,0.08418739770867428,0.014698737286475194,47.0,26.0,45.0,R,33.47945205479452,low,0.014857842364673413
665966,0.010379078882900517,0.0164894814085898,130.0,314.0,6.0,R,183.8738738738739,low,0.014857842364673413
666018,-0.0669613770741942,-0.03777012683787939,98.0,321.0,35.0,L,150.15751789976133,low,-0.026253501145267144
666023,-0.06236027004909986,0.013162213447065196,104.0,235.0,186.0,R,144.18879056047197,medium,0.014857842364673413
666134,-0.06617695658705125,-0.050313257737802486,84.0,317.0,227.0,L,132.8079800498753,medium,-0.026253501145267144
666139,-0.10643496103896108,-0.04867030546473533,125.0,308.0,163.0,L,177.82909930715934,medium,-0.026253501145267144
666149,0.045738766373735695,0.018460511221544518,74.0,163.0,128.0,R,101.78902953586498,medium,0.014857842364673413
666152,-0.10247134502923977,-0.03505478966644149,20.0,171.0,53.0,L,35.81151832460733,low,-0.026253501145267144
666158,-0.11382193362193363,-0.042980113268605014,63.0,440.0,280.0,L,110.21868787276343,medium,-0.026253501145267144
666160,-0.09431083333333329,-0.04542067089599039,60.0,400.0,125.0,L,104.34782608695653,medium,-0.026253501145267144
666163,0.06412709620476609,-0.037660064261753334,22.0,103.0,69.0,L,36.256,low,-0.026253501145267144
666176,0.07381103499504782,0.01235552161396769,104.0,466.0,321.0,R,170.04912280701754,medium,0.014857842364673413
666181,-0.006108225108225118,-0.04039983872126318,21.0,231.0,120.0,L,38.5,medium,-0.026253501145267144
666182,0.016982162315465787,0.017255078663596102,137.0,489.0,543.0,R,214.03514376996807,high,0.014857842364673413
666185,-0.052063856015779064,-0.00581472159370261,72.0,169.0,493.0,L,100.9792531120332,high,-0.026253501145267144
666211,0.10329674369747904,-0.040369088805514486,16.0,119.0,89.0,L,28.20740740740741,low,-0.026253501145267144
666310,-0.07855624726955004,-0.029428231850368303,84.0,327.0,128.0,L,133.66423357664235,medium,-0.026253501145267144
666397,0.060371604938271595,-0.0420614248196578,45.0,162.0,81.0,L,70.43478260869566,low,-0.026253501145267144
666464,0.041843589743589704,0.015603173360940692,26.0,30.0,71.0,R,27.857142857142858,low,0.014857842364673413
666624,0.0035808563797707915,0.016825431819371905,159.0,146.0,344.0,R,152.22295081967212,medium,0.014857842364673413
666969,-0.03560945273631844,0.009455660176691028,144.0,402.0,740.0,R,212.0439560439561,high,0.014857842364673413
666971,0.049069230769230754,0.011622025734628172,156.0,390.0,838.0,R,222.85714285714286,high,0.014857842364673413
667472,0.10428703703703704,0.01535098250678435,117.0,216.0,86.0,R,151.78378378378378,low,0.014857842364673413
667670,0.03395973146401926,0.01529325191487918,157.0,537.0,417.0,R,242.96541786743515,medium,0.014857842364673413
668227,-0.014386220580186071,0.020682668940030735,203.0,504.0,702.0,R,289.4257425742574,high,0.014857842364673413
668670,0.021089682539682575,0.019058830152960393,36.0,105.0,271.0,R,53.61702127659574,medium,0.014857842364673413
668709,0.09383795895503388,-0.035597550158009306,73.0,269.0,239.0,L,114.83625730994154,medium,-0.026253501145267144
668715,0.002145608167576085,0.014196394201472562,130.0,437.0,374.0,R,200.38800705467372,medium,0.014857842364673413
668800,0.03230516129032257,0.014055399261875878,25.0,62.0,236.0,R,35.632183908045974,medium,0.014857842364673413
668804,0.02963546980113846,-0.0026677159659160843,167.0,486.0,965.0,L,248.58192955589587,high,-0.026253501145267144
668845,-0.1481818181818182,0.009991966990972212,21.0,11.0,33.0,R,14.4375,low,0.014857842364673413
668885,0.07731104400345129,0.015453014994106229,57.0,122.0,79.0,R,77.69832402234637,low,0.014857842364673413
668901,0.01673799244468427,0.0191087540915032,136.0,327.0,249.0,R,192.1036717062635,medium,0.014857842364673413
668904,0.011212895017161828,0.014860193321002468,119.0,284.0,165.0,R,167.72208436724566,medium,0.014857842364673413
668930,-0.019210617575859956,-0.03221619492787331,191.0,465.0,200.0,L,270.7774390243902,medium,-0.026253501145267144
668939,0.02576720142602501,-0.01630080129984046,110.0,255.0,487.0,L,153.6986301369863,high,-0.026253501145267144
668942,-0.06333644503714991,-0.0327597675891802,29.0,181.0,457.0,L,49.990476190476194,high,-0.026253501145267144
668952,0.0017481481481481376,0.020139636563235197,15.0,27.0,55.0,R,19.285714285714285,low,0.014857842364673413
669003,-0.022852657004830967,-0.03846593527427489,23.0,54.0,45.0,L,32.25974025974026,low,-0.026253501145267144
669004,0.27464309764309763,-0.03150299109715571,11.0,54.0,344.0,L,18.276923076923076,medium,-0.026253501145267144
669016,-0.09685430257844052,-0.046464244107089325,87.0,333.0,380.0,L,137.95714285714286,medium,-0.026253501145267144
669065,-0.10653814147018026,-0.0438470358353894,103.0,350.0,50.0,L,159.16114790286977,low,-0.026253501145267144
669087,0.12530555555555556,0.01778488543362089,18.0,40.0,84.0,R,24.827586206896555,low,0.014857842364673413
669127,0.09810269576379976,0.014803645043172164,123.0,399.0,320.0,R,188.03448275862067,medium,0.014857842364673413
669134,0.024388235294117655,0.0110842130530181,17.0,10.0,147.0,R,12.592592592592593,medium,0.014857842364673413
669208,-0.03436666666666671,0.013737686946905914,15.0,24.0,34.0,R,18.46153846153846,low,0.014857842364673413
669221,0.0579848121188275,0.0073697787500570655,115.0,221.0,531.0,R,151.2797619047619,high,0.014857842364673413
669224,0.01231346833058633,-0.04416714864170246,137.0,310.0,83.0,L,190.02237136465325,low,-0.026253501145267144
669234,0.10380350877192981,0.019194062640269738,70.0,57.0,61.0,R,62.83464566929135,low,0.014857842364673413
669236,-0.024025409130060293,0.016065098643249787,54.0,129.0,0.0,R,76.1311475409836,low,0.014857842364673413
669242,0.01874661159158386,0.012285255337084688,122.0,254.0,647.0,L,164.82978723404256,high,-0.026253501145267144
669257,-0.028979655019902684,0.009382040499489708,112.0,323.0,665.0,R,166.32643678160917,high,0.014857842364673413
669289,0.05576058865757355,0.013583866896570318,126.0,199.0,502.0,R,154.30153846153846,high,0.014857842364673413
669304,-0.20620000000000002,0.014896184346123997,15.0,21.0,311.0,R,17.5,medium,0.014857842364673413
669326,0.09238737097753486,0.014940433879085169,27.0,122.0,2.0,R,44.214765100671144,low,0.014857842364673413
669357,0.035720535182655555,-0.04080179846510268,93.0,307.0,222.0,L,142.755,medium,-0.026253501145267144
669364,-0.07928807410924055,-0.009748634861392769,197.0,417.0,111.0,L,267.58631921824104,low,-0.026253501145267144
669369,-0.07507007575757574,-0.0077787888475149836,33.0,48.0,60.0,L,39.111111111111114,low,-0.026253501145267144
669394,0.06696695652173912,0.017511664029780216,100.0,276.0,383.0,R,146.80851063829786,medium,0.014857842364673413
669397,0.0074472849298352906,0.011487582734722723,110.0,298.0,229.0,R,160.68627450980392,medium,0.014857842364673413
669450,0.10433408662900193,-0.005199567207575917,45.0,59.0,98.0,L,51.05769230769231,low,-0.026253501145267144
669477,-0.06146877429385855,0.016378591228563888,119.0,227.0,164.0,R,156.14450867052022,medium,0.014857842364673413
669701,-0.09834599593261964,-0.030556115423665542,119.0,438.0,214.0,L,187.15260323159785,medium,-0.026253501145267144
669707,0.0661309523809524,0.012967022403972461,120.0,252.0,187.0,R,162.58064516129033,medium,0.014857842364673413
669717,0.09639673913043476,0.016065098643249787,46.0,40.0,0.0,R,42.7906976744186,low,0.014857842364673413
669720,0.09861643920595531,0.019333756774311428,104.0,310.0,696.0,R,155.7487922705314,high,0.014857842364673413
669743,0.00031948275862070386,0.014483194334008798,116.0,200.0,254.0,R,146.83544303797467,medium,0.014857842364673413
669911,0.025019133542538374,-0.0050599651666641265,96.0,239.0,230.0,L,136.97910447761197,medium,-0.026253501145267144
670042,-0.15479444444444446,-0.04463704090936971,36.0,180.0,155.0,L,60.0,medium,-0.026253501145267144
670097,0.20822076023391817,0.012064488272768847,19.0,36.0,215.0,R,24.872727272727275,medium,0.014857842364673413
670156,0.07079897660818718,-0.03525494640925453,18.0,152.0,29.0,L,32.188235294117646,low,-0.026253501145267144
670223,0.13408943089430891,-0.04780859192873749,10.0,123.0,21.0,L,18.496240601503757,low,-0.026253501145267144
670224,-0.07327339901477833,-0.03675070188611551,42.0,174.0,1.0,L,67.66666666666667,low,-0.026253501145267144
670231,0.06998344370860932,-0.03549586127317533,22.0,151.0,0.0,L,38.40462427745665,low,-0.026253501145267144
670242,0.008515603704350894,-0.040952781001803606,97.0,295.0,108.0,L,145.99489795918367,low,-0.026253501145267144
670541,0.15752327935222665,-0.05190400746888557,38.0,156.0,938.0,L,61.11340206185567,high,-0.026253501145267144
670623,-0.04938918524772612,0.013459582763833411,71.0,367.0,451.0,R,118.98173515981735,medium,0.014857842364673413
670764,-0.004835140186915832,-0.01311289806351651,100.0,214.0,354.0,L,136.30573248407643,medium,-0.026253501145267144
670770,-0.042672095901329865,-0.031089949846044018,197.0,484.0,215.0,L,280.0234948604993,medium,-0.026253501145267144
671056,0.1357005815410839,0.018695647603892862,122.0,327.0,96.0,R,177.70155902004456,low,0.014857842364673413
671083,0.1017922077922078,0.019121822874225092,21.0,11.0,65.0,R,14.4375,low,0.014857842364673413
671213,0.3675102040816326,-0.0459717017200571,12.0,98.0,183.0,L,21.381818181818183,medium,-0.026253501145267144
671218,0.0003832829574517138,0.014161642562721566,187.0,506.0,185.0,R,273.0793650793651,medium,0.014857842364673413
671221,-0.10499883116883119,-0.013574258189996635,44.0,175.0,115.0,L,70.31963470319634,medium,-0.026253501145267144
671277,-0.12613057282117784,-0.043567563490723715,107.0,418.0,443.0,L,170.38476190476192,medium,-0.026253501145267144
671284,-0.06513461538461537,0.016065098643249787,20.0,52.0,0.0,R,28.888888888888886,low,0.014857842364673413
671286,0.20179090909090913,0.017311588833431202,55.0,22.0,15.0,R,31.42857142857143,low,0.014857842364673413
671289,-0.009916189742460946,0.012976358884232986,118.0,308.0,244.0,R,170.62910798122067,medium,0.014857842364673413
671732,-0.0789427030507929,-0.05072274909113961,123.0,505.0,111.0,L,197.8184713375796,low,-0.026253501145267144
671739,-0.017516301378179777,-0.05501147065541934,181.0,455.0,419.0,L,258.97798742138366,medium,-0.026253501145267144
672016,-0.0017839895013124218,0.016065098643249787,30.0,127.0,0.0,R,48.53503184713376,low,0.014857842364673413
672275,-0.02329269340612125,-0.008629228148002988,121.0,327.0,209.0,L,176.63839285714286,medium,-0.026253501145267144
672356,0.005149253731343284,0.008721635368796499,134.0,335.0,209.0,R,191.42857142857142,medium,0.014857842364673413
672386,-0.0041641322666253755,0.012992967247080822,143.0,361.0,402.0,R,204.8531746031746,medium,0.014857842364673413
672515,-0.021111441647597318,0.016861260943313416,76.0,230.0,258.0,R,114.2483660130719,medium,0.014857842364673413
672569,-0.22514583333333335,-0.007145488361862684,18.0,48.0,10.0,L,26.181818181818183,low,-0.026253501145267144
672580,0.06369046489563568,0.01643652235454257,136.0,527.0,282.0,R,216.2051282051282,medium,0.014857842364673413
672640,-0.09463443309766953,0.012441082362145972,190.0,402.0,138.0,R,258.0405405405405,medium,0.014857842364673413
672695,0.030941236202260303,0.0029983706267097676,214.0,497.0,338.0,L,299.1786216596343,medium,-0.026253501145267144
672724,-0.09245805414098096,0.01525611744479588,82.0,182.0,72.0,R,113.06060606060605,low,0.014857842364673413
672744,-0.018664021164021216,0.01341525976834751,108.0,126.0,14.0,R,116.30769230769232,low,0.014857842364673413
672761,0.05918693602693609,-0.0011510588501300045,108.0,275.0,96.0,L,155.09138381201046,low,-0.026253501145267144
672820,0.007112282878411869,0.010994855359632016,140.0,403.0,175.0,R,207.8084714548803,medium,0.014857842364673413
673237,0.006483979827854258,0.0036428011501424273,118.0,447.0,274.0,R,186.71150442477875,medium,0.014857842364673413
673357,0.09090494608532579,0.004288247527055089,108.0,316.0,428.0,R,160.98113207547172,medium,0.014857842364673413
673490,0.036025572519084004,0.016463521400107983,60.0,131.0,594.0,R,82.30366492146598,high,0.014857842364673413
673548,0.01601415850504906,0.01930743244585753,183.0,467.0,417.0,R,262.9569230769231,medium,0.014857842364673413
673962,-0.0010178082191780735,0.017251968020298214,146.0,365.0,192.0,R,208.5714285714286,medium,0.014857842364673413
676044,-0.05472307692307693,-0.03549586127317533,18.0,65.0,0.0,L,28.192771084337352,low,-0.026253501145267144
676059,-0.017975409836065548,0.01613591481128801,108.0,244.0,191.0,R,149.72727272727272,medium,0.014857842364673413
676070,-0.03266000000000001,0.017420004429046232,22.0,50.0,35.0,R,30.555555555555554,low,0.014857842364673413
676356,-0.09553623188405796,0.011040253318974902,23.0,36.0,134.0,R,28.06779661016949,medium,0.014857842364673413
676391,0.10391825867369342,0.008557764717330885,184.0,396.0,299.0,R,251.25517241379308,medium,0.014857842364673413
676439,-0.2073928571428571,-0.03255428774972807,21.0,84.0,3.0,L,33.6,low,-0.026253501145267144
676475,-0.0498561507936508,-0.0439719773273462,126.0,416.0,172.0,L,193.4169741697417,medium,-0.026253501145267144
676480,-0.12644298245614038,0.01666728895603531,12.0,19.0,145.0,R,14.709677419354842,medium,0.014857842364673413
676572,0.06649107378129115,0.015023795200896917,184.0,330.0,18.0,R,236.2645914396887,low,0.014857842364673413
676609,0.06922540983606557,0.014372500736592575,122.0,244.0,246.0,R,162.66666666666666,medium,0.014857842364673413
676679,-0.04103276353276353,0.014409306472930983,26.0,27.0,6.0,R,26.49056603773585,low,0.014857842364673413
676694,-0.025831763307115452,0.017877722507360194,71.0,308.0,336.0,R,115.39841688654354,medium,0.014857842364673413
676801,0.07398703457446809,0.012961653686831331,47.0,64.0,432.0,R,54.19819819819819,medium,0.014857842364673413
676914,-0.07115932765151517,0.018140418599075503,128.0,99.0,192.0,R,111.647577092511,medium,0.014857842364673413
677008,-0.12708484299516912,-0.04727005815410312,23.0,144.0,17.0,L,39.66467065868263,low,-0.026253501145267144
677347,0.16178826728826728,0.016272975899921938,22.0,117.0,39.0,R,37.03597122302158,low,0.014857842364673413
677587,0.02037011777230685,-0.008615297108298503,113.0,266.0,157.0,L,158.6174142480211,medium,-0.026253501145267144
677588,0.15011356209150328,-0.038537796677914016,16.0,153.0,60.0,L,28.97041420118343,low,-0.026253501145267144
677592,0.09494144144144143,0.01373506999234092,36.0,37.0,23.0,R,36.49315068493151,low,0.014857842364673413
677594,-0.005479356207845731,0.013389475898290704,182.0,523.0,464.0,R,270.03120567375885,high,0.014857842364673413
677595,-0.2321655172413793,-0.005481514900760209,38.0,145.0,48.0,L,60.21857923497268,low,-0.026253501145267144
677649,-0.016474262182566923,0.010554348883950071,94.0,124.0,275.0,R,106.93577981651376,medium,0.014857842364673413
677800,-0.04402915654286704,-0.04585785492347022,67.0,344.0,77.0,L,112.15571776155718,low,-0.026253501145267144
677870,0.20480952380952377,0.01213142062862188,21.0,10.0,61.0,R,13.548387096774194,low,0.014857842364673413
677942,0.04521036179835064,0.012028630626073622,84.0,179.0,83.0,R,114.34220532319391,low,0.014857842364673413
677950,-0.03200829249905768,-0.042501708817962336,84.0,379.0,201.0,L,137.52051835853132,medium,-0.026253501145267144
677951,0.009771428194785048,0.010814101034110624,141.0,538.0,436.0,R,223.44035346097203,medium,0.014857842364673413
677956,-0.31124,0.011906634509416703,19.0,25.0,20.0,R,21.59090909090909,low,0.014857842364673413
678009,-0.05109724030200469,-0.03959705039267597,46.0,167.0,90.0,L,72.13145539906104,low,-0.026253501145267144
678246,0.010845407604443746,0.014855111153328604,154.0,415.0,208.0,R,224.6397188049209,medium,0.014857842364673413
678489,0.09303787878787878,-0.00894479029020051,44.0,33.0,8.0,R,37.714285714285715,low,0.014857842364673413
678554,-0.04560662525879916,0.0154396937699946,126.0,138.0,85.0,R,131.72727272727272,low,0.014857842364673413
678662,0.03914416301656831,0.001970385442241207,89.0,295.0,395.0,R,136.74479166666666,medium,0.014857842364673413
678877,0.04882575494619926,0.011258588709834982,86.0,67.0,63.0,R,75.3202614379085,low,0.014857842364673413
678882,-0.0215491194195776,0.0052215564262533265,162.0,422.0,177.0,R,234.12328767123287,medium,0.014857842364673413
678894,0.08865454545454543,0.015673949432135514,33.0,55.0,73.0,R,41.25,low,0.014857842364673413
679032,0.02603950973323721,0.012947330639923815,73.0,95.0,165.0,R,82.55952380952382,medium,0.014857842364673413
679529,0.03964743771904894,0.016271982092635806,184.0,459.0,356.0,R,262.6936236391913,medium,0.014857842364673413
679845,-0.009228991596638703,0.01645035324273386,68.0,119.0,76.0,R,86.54545454545455,low,0.014857842364673413
680474,-0.05699208047945206,0.0170524798333459,64.0,146.0,103.0,R,88.99047619047619,low,0.014857842364673413
680574,0.02481426085158439,0.01797456926224822,131.0,443.0,101.0,R,202.205574912892,low,0.014857842364673413
680577,-0.06882850241545894,-0.034244973093411124,18.0,69.0,4.0,L,28.55172413793104,low,-0.026253501145267144
680700,-0.12234845735027222,-0.026249062250545407,19.0,29.0,56.0,L,22.958333333333336,low,-0.026253501145267144
680718,-0.06703398325622384,-0.04364350579630821,89.0,408.0,37.0,L,146.12474849094568,low,-0.026253501145267144
680737,-0.08598627726952845,0.015631998427804383,49.0,58.0,0.0,R,53.1214953271028,low,0.014857842364673413
680757,-0.07234609287398985,-0.024934308858233223,222.0,466.0,520.0,L,300.7325581395349,high,-0.026253501145267144
680776,-0.1045868352326686,-0.045475951583636876,208.0,486.0,348.0,L,291.31988472622476,medium,-0.026253501145267144
680777,0.09093939393939393,0.014054109861172115,144.0,319.0,425.0,R,198.42764578833695,medium,0.014857842364673413
680779,-0.005094534050179206,0.017400256577698336,62.0,216.0,112.0,R,96.34532374100719,low,0.014857842364673413
680837,-0.08898787878787878,-0.03549586127317533,20.0,33.0,0.0,L,24.90566037735849,low,-0.026253501145267144
680862,0.0848658450704225,0.016065098643249787,40.0,71.0,0.0,R,51.17117117117117,low,0.014857842364673413
680869,-0.10961226611226613,0.009849482943298404,26.0,74.0,204.0,R,38.48,medium,0.014857842364673413
680977,-0.09490194235588972,-0.03604761596634348,168.0,342.0,333.0,L,225.31764705882355,medium,-0.026253501145267144
681082,-0.07184527981910688,-0.0340681913551088,122.0,435.0,406.0,L,190.556552962298,medium,-0.026253501145267144
