batter,stand,stratum,dim,gradient
669394,R,medium,10,0.0013970823178149716
676113,L,low,10,0.0
677347,R,low,10,0.0021028816278203448
680474,R,low,10,0.0
680718,L,low,10,0.0
680776,L,medium,10,-0.001570589702086197
680869,R,low,10,0.00020591647815328877
681146,R,low,10,0.0019018741949901176
682177,L,low,10,0.0
682626,R,medium,10,0.00030959914130742765
686527,L,low,10,-0.002905376979623976
686894,R,medium,10,0.00041109725708230957
691718,L,low,10,-0.002031745874423098
700250,L,low,10,0.0
457705,R,high,11,0.0008008990830430993
467793,L,high,11,-0.0011386087150497038
502671,R,high,11,0.0006311128246829125
545121,L,medium,11,-0.0002590887492158628
545361,R,high,11,0.0009505614204334565
571745,R,high,11,-0.00010368986779444724
592325,L,high,11,-0.00025819514378577573
592626,L,high,11,0.0015037714587586217
593871,L,high,11,-0.0028741601471898217
595978,R,high,11,0.002330116075511158
605131,R,high,11,0.0002901335676603656
605170,L,medium,11,-0.002834543428842277
605346,R,low,11,0.0012648270225505914
608336,L,high,11,0.0019709488119629727
624428,L,high,11,-0.002027911446128994
650859,L,high,11,-0.0007079321333573733
656555,R,high,11,0.0009914020744830503
656941,L,high,11,-0.00011339518942897535
660707,R,medium,11,0.002576162608393091
662139,L,medium,11,0.0007085623713318617
664761,R,high,11,0.0015260998440060495
665742,L,high,11,-0.00032155041543561666
665926,L,medium,11,0.0010997033194521304
667472,R,low,11,0.0018351735691476741
668709,L,medium,11,0.0006528081360082262
669289,R,medium,11,-5.0604753836725415e-05
669394,R,medium,11,0.0009364270914148261
676113,L,low,11,0.0
677347,R,low,11,0.002085692959128888
680474,R,low,11,0.0
680718,L,low,11,0.0
680776,L,medium,11,-0.0016085106607928207
680869,R,low,11,0.0019807804117037645
681146,R,low,11,0.0008541491317987514
682177,L,low,11,0.0
682626,R,medium,11,0.0010267613955997042
686527,L,low,11,0.0004891544429985417
686894,R,medium,11,0.0021081563010216233
691718,L,low,11,-0.0007684748175792167
700250,L,low,11,0.0
457705,R,high,12,-0.0019455377154414266
467793,L,high,12,-0.0010538733816658936
502671,R,high,12,-0.001291628711049374
545121,L,medium,12,-0.000836152624876174
545361,R,high,12,-0.0013565848269459755
571745,R,high,12,-0.0030362514813259984
592325,L,high,12,-0.0006149311132715173
592626,L,high,12,-0.0009462417607479879
593871,L,high,12,-0.0017286143033213006
595978,R,high,12,-0.002950595778128682
605131,R,high,12,-0.0008876134632278606
605170,L,medium,12,-0.003268318924840809
605346,R,low,12,-0.0032530015223103297
608336,L,high,12,0.00023813280886723226
624428,L,high,12,0.000551217110695446
650859,L,high,12,-0.0017185249015075818
656555,R,high,12,-0.0018104799564098207
656941,L,high,12,0.000532982353580939
660707,R,medium,12,-0.0037635816834318404
662139,L,medium,12,-0.0010153471237611842
664761,R,high,12,-0.0036059280220229473
665742,L,high,12,-0.00041845523741445407
665926,L,medium,12,-0.0016002122795984257
667472,R,low,12,-0.003965747256767891
668709,L,medium,12,-0.0006880140333494243
669289,R,medium,12,-0.0017677866941083352
669394,R,medium,12,-0.0019478664271255358
676113,L,low,12,0.0
677347,R,low,12,-0.00161892416130302
680474,R,low,12,0.0
680718,L,low,12,0.0
680776,L,medium,12,0.00033195961581846686
680869,R,low,12,-0.0024132702232738095
681146,R,low,12,-0.0012094343511210557
682177,L,low,12,0.0
682626,R,medium,12,-0.0028783806507182894
686527,L,low,12,-0.0023875768592848345
686894,R,medium,12,-0.0023864001349525187
691718,L,low,12,0.00018971896125592717
700250,L,low,12,0.0
457705,R,high,13,0.0021914706764881954
467793,L,high,13,0.0011764806699689175
502671,R,high,13,0.0018880069479029356
545121,L,medium,13,0.00012954162422037501
545361,R,high,13,0.0011545596930554814
571745,R,high,13,0.0022918026644436445
592325,L,high,13,0.001409448350405226
592626,L,high,13,-0.00042999898356489377
593871,L,high,13,0.00514831758775574
595978,R,high,13,0.0025431229086983406
605131,R,high,13,0.0015452134159512079
605170,L,medium,13,0.003943864754903323
605346,R,low,13,0.003352027192903071
608336,L,high,13,-1.6426581487888824e-05
624428,L,high,13,0.00153380279449987
650859,L,high,13,0.0033999283192543417
656555,R,high,13,0.00243094244522365
656941,L,high,13,-0.0004388694559182866
660707,R,medium,13,0.0012584205467062112
662139,L,medium,13,0.0022912796866276725
