batter,name,stand,stratum,log_prior_pa,level_query,woba_level
663368,Blake Perkins,L,low,5.117993812416755,0.29563958011673847,0.3035662650602409
663457,Lars Nootbaar,L,medium,6.876264611890766,0.33157239646567094,0.3399245867768595
663527,Tyler Nevin,R,medium,5.749392985908253,0.3133976064749947,0.2792460063897763
663538,Nico Hoerner,R,medium,7.3613754289773485,0.3264810795704087,0.3167749523204068
663550,Trey Cabbage,L,low,4.04305126783455,0.2651018891081209,0.2376607142857142
663586,Austin Riley,R,high,7.848933726364071,0.35073936157393426,0.3599488680718188
663609,Luken Baker,R,low,4.605170185988092,0.31159676450646084,0.2855252525252525
663611,Nick Madrigal,R,medium,6.733401891837359,0.310846694230435,0.302222884386174
663616,Trevor Larnach,L,medium,6.539585955617669,0.30423461977605193,0.3065267727930535
663624,Ryan Mountcastle,R,high,7.496652438168283,0.3409452628695009,0.3314181010549695
663630,Ryan Mckenna,R,medium,6.2166061010848646,0.2875748029887373,0.276384
663647,Ke'Bryan Hayes,R,high,7.3613754289773485,0.33745999167897955,0.3161856325492689
663656,Kyle Tucker,L,high,7.691656822810547,0.3707105921874857,0.3594805847418912
663662,Daz Cameron,R,low,5.501258210544727,0.29233108662138474,0.2637049180327868
663697,Jonathan India,R,medium,7.370860166536716,0.3222510693090999,0.3377153652392947
663698,Joey Bart,R,medium,6.222576268071369,0.28893217586984243,0.2785904572564612
663728,Cal Raleigh,L,medium,7.0317412587631285,0.3243313964936586,0.3150928381962865
663743,Nick Fortes,R,medium,6.38856140554563,0.3255076801816273,0.2838417508417508
663757,Trent Grisham,L,high,7.6128310304073565,0.3100231243651438,0.3075373208106772
663837,Matt Vierling,R,medium,6.8690144506657065,0.33415893929448354,0.3069885535900104
663853,Romy Gonzalez,R,low,5.476463551931511,0.29861896708228497,0.256626050420168
663886,Tyler Stephenson,R,medium,7.02108396428914,0.32053786230071674,0.3329016979445934
663897,Luke Williams,R,medium,5.572154032177765,0.27551758446339214,0.2568740458015267
663898,Brendan Rodgers,R,medium,7.1631723908466425,0.3216663015369181,0.3162604651162791
663905,Travis Blankenhorn,L,low,4.23410650459726,0.2938424163946331,0.2608823529411764
663967,César Salazar,L,low,2.995732273553991,0.2673653891425085,0.129578947368421
663993,Nathaniel Lowe,L,high,7.718240951959316,0.34268104489203133,0.3456356761565836
664023,Ian Happ,L,high,8.04044688130311,0.320867836451798,0.3421050596197228
664034,Ty France,R,high,7.731930721948486,0.3340526772690168,0.3332847740236946
664040,Brandon Lowe,L,high,7.607381425639791,0.3244297162600833,0.3481833996023856
664056,Harrison Bader,R,high,7.645397699428633,0.29776326957296,0.3043564593301435
664058,David Fletcher,R,high,7.679251425953058,0.29972038210338686,0.2983654024051804
664059,Sam Haggerty,L,medium,6.1224928095143865,0.29195972400322995,0.2999648351648352
664238,Dylan Moore,R,high,7.1180162044653335,0.3060306262495211,0.3095563665855637
664314,Estevan Florial,L,low,4.90527477843843,0.2755756245052099,0.2788432835820895
664702,Myles Straw,R,high,7.584264818389059,0.3100310717195192,0.2812568667344863
664728,Kyle Isbel,L,medium,6.511745329644728,0.3044188728295475,0.2833467261904762
