batter,embedding_index,swing,contact,split_inplay,ev,la,spray
477165,270,0.45769054,0.6055765,0.3592565,82.78438,7.3947325,4.232075
477195,271,0.46572244,0.644931,0.3934123,82.615166,6.6156425,-0.18709598
485567,272,0.42737207,0.62076086,0.3797729,81.15526,6.1124763,4.0055146
488671,273,0.35659266,0.47870594,0.304669,80.30718,6.939803,2.8741639
488681,274,0.5088758,0.6127986,0.35203442,82.29685,11.754482,-2.4345343
488689,275,0.45852363,0.6256722,0.37213323,80.702126,10.332098,2.8248205
488703,276,0.47354814,0.6339192,0.3782708,81.87862,9.786832,1.9853793
488721,277,0.5143371,0.621628,0.39423087,81.71922,8.871908,4.8047714
488726,278,0.46165508,0.7718623,0.4663345,83.15069,8.557861,2.4691226
488771,279,0.4523273,0.5696607,0.34831673,82.95836,10.078532,0.39249504
488810,280,0.48974353,0.6277346,0.36485812,82.54132,11.71768,0.26486954
488818,281,0.46231794,0.65711784,0.40292606,81.16543,11.622822,2.6145365
488852,282,0.46105942,0.58310866,0.35135475,81.06411,10.615646,5.9434724
488862,283,0.49022716,0.68698204,0.40956995,82.38439,4.9919405,0.9058625
488912,284,0.45332968,0.68138635,0.4034148,81.87225,10.956174,2.6779158
489067,285,0.47905308,0.65251607,0.3863291,81.743385,9.584323,1.2863076
489138,286,0.49238592,0.6243669,0.3740175,82.453186,14.754348,6.544002
489149,287,0.49458247,0.646569,0.39071107,83.698906,9.287748,6.2878823
489232,288,0.38454902,0.56305116,0.34776765,82.70934,11.361487,3.4312077
489267,289,0.4647207,0.5894892,0.3611983,82.16118,10.766883,6.2304597
489305,290,0.42587835,0.5992929,0.35522684,83.10532,11.703702,1.3477776
489365,291,0.43230277,0.65535766,0.40248033,80.54158,9.41778,6.0269465
491676,292,0.47236004,0.5947441,0.3438105,81.10641,9.429945,-0.8827666
491696,293,0.49030438,0.6896893,0.4109402,80.855995,8.531875,0.6544984
492802,294,0.5572965,0.7147366,0.4186502,80.182785,8.667162,0.3719638
492841,295,0.5069252,0.6561976,0.40757644,81.88988,8.900461,1.2911426
493114,296,0.470761,0.7234315,0.41602415,80.16471,6.682823,1.7138352
493128,297,0.43785587,0.6541924,0.38197818,80.858185,8.847508,-1.3150471
493193,298,0.46581745,0.6604173,0.38952234,82.3615,8.263435,4.4453826
493316,299,0.49935383,0.6794577,0.393721,86.19292,16.521395,3.5737104
493329,300,0.4921839,0.77507395,0.481002,84.57564,10.125601,3.539882
493343,301,0.5305442,0.69155264,0.41681603,83.14681,9.608443,2.660908
493351,302,0.48482227,0.733239,0.47639117,80.24541,8.01718,6.053792
493472,303,0.41051415,0.61527395,0.36811686,80.24783,8.474205,3.5419245
493596,304,0.45588395,0.65637743,0.3696472,81.98564,13.350478,1.765412
499624,305,0.4643284,0.60097545,0.38868713,83.1899,5.561245,1.0205154
499864,306,0.47374168,0.6318415,0.376643,81.71195,11.727066,4.7454114
500135,307,0.550096,0.6648491,0.42778453,83.956314,11.215092,6.870721
500207,308,0.48654857,0.6746832,0.4014814,81.836655,9.804759,1.5222219
500208,309,0.55113375,0.7574395,0.45776838,82.866455,10.793444,6.060044
500743,310,0.46663797,0.75301224,0.45795316,81.502335,9.473266,1.0704683
500871,311,0.5181022,0.68496305,0.3786113,83.102234,16.321686,4.3921647
500874,312,0.4393343,0.6804043,0.4285797,85.00812,6.865142,-0.48099786
500887,313,0.4748138,0.613608,0.3631663,82.16907,10.659984,2.0886772
501213,314,0.4699674,0.6138255,0.36801282,82.78708,7.5392923,1.6899819
501245,315,0.4669723,0.62304527,0.37373507,81.917984,9.537827,2.3642066
501255,316,0.48276034,0.6764867,0.36895612,80.199524,9.653537,-2.592205
501303,317,0.45760298,0.69051707,0.3836814,79.57581,9.060168,5.3836603
501571,318,0.4663128,0.67506886,0.40620244,84.253006,8.075497,-0.3505325
501647,319,0.5231365,0.6341272,0.39512822,84.607735,9.444646,0.52222246
501659,320,0.4805733,0.6445309,0.39349186,83.24921,7.1814117,3.3871498
501800,321,0.42176804,0.62313956,0.38274375,81.45034,8.332882,3.1731205
501888,322,0.49526918,0.6467404,0.37991682,82.48175,10.580582,2.4071908
501896,323,0.4403577,0.6082015,0.36347958,83.86221,4.2307334,0.70128113
501936,324,0.47372398,0.63334996,0.38080746,81.97687,9.65582,2.479501
501981,325,0.50421864,0.5596313,0.35782596,83.64058,10.628013,0.89219034
501983,326,0.4783797,0.6202656,0.3656142,83.35805,7.7861233,1.435978
501986,327,0.50988746,0.68500024,0.40837452,81.10136,11.138361,4.794154
502023,328,0.47517985,0.63579625,0.37957868,81.8392,9.723779,2.3005745
502029,329,0.47254172,0.6607959,0.39249644,81.86981,10.642597,1.576245
502034,330,0.53042763,0.6459777,0.3829736,81.71722,9.069996,0.99178857
502054,331,0.3875877,0.63489515,0.3687859,84.775,6.33454,2.2993348
502082,332,0.5537201,0.7099966,0.4059793,83.2384,11.780826,1.7074975
502100,333,0.4387214,0.6571567,0.3920221,79.66845,8.160672,0.020439515
502110,334,0.5164688,0.61731243,0.36019984,84.58368,10.005353,0.9737642
502117,335,0.4542075,0.5938939,0.36044025,79.038795,8.389905,-0.4701244
502126,336,0.49180678,0.6452858,0.39379668,82.30529,8.903219,4.881827
502143,337,0.44747955,0.6371108,0.42178082,84.39352,4.836349,4.9093556
502151,338,0.45164603,0.6311566,0.37766206,81.477394,9.694849,3.1803796
502182,339,0.4694978,0.68928987,0.404406,82.68932,7.4188313,-0.23027575
502205,340,0.5007881,0.65700036,0.40428913,81.27845,7.738635,1.4854288
502210,341,0.4935804,0.71021235,0.41780376,82.14991,12.539504,1.2640017
502213,342,0.4756279,0.62094873,0.36956653,81.71833,9.151914,1.8165895
502226,343,0.44213837,0.65631855,0.40372643,78.26386,6.299049,2.7286549
502261,344,0.41146424,0.64062524,0.37721625,80.752846,5.7980657,-1.5710412
502273,345,0.46314842,0.64252305,0.3564243,80.77869,9.362618,-3.5011446
502285,346,0.43295488,0.6576361,0.4008427,80.82108,7.44253,1.154589
502317,347,0.42666274,0.59322315,0.37088042,81.869026,11.807227,6.0841203
502374,348,0.39846006,0.60887325,0.35960072,82.249115,11.198445,3.2431982
502409,349,0.43524706,0.6393951,0.37982112,80.50003,7.794006,0.53658354
502457,350,0.47369978,0.6368635,0.38293248,81.940605,9.716755,2.606348
502481,351,0.44510517,0.68990904,0.43281946,79.00047,3.4700913,2.4683094
502517,352,0.5013884,0.76144034,0.46479547,84.315575,12.372033,2.905771
502523,353,0.43320763,0.6460153,0.3705787,78.85614,9.92563,1.4349046
502544,354,0.5201756,0.6828245,0.39576703,81.07181,9.688338,1.7488039
502570,355,0.4818154,0.6209546,0.37626833,81.580826,11.332269,2.1952753
502582,356,0.4765755,0.6679872,0.40690175,81.22151,9.803172,4.661247
502671,357,0.43665612,0.6515431,0.41019425,85.71953,10.940174,1.8801873
502676,358,0.47741282,0.69757855,0.41463104,80.95564,11.442099,2.2909667
503351,359,0.513585,0.6537443,0.38684332,82.365654,9.382594,1.4383162
503437,360,0.48916385,0.6785969,0.39211106,81.37527,8.467438,-2.3009777
503556,361,0.48477605,0.66357327,0.4044069,83.233734,7.8077025,10.087301
506560,362,0.4927518,0.73103356,0.40364864,81.69154,13.645364,-1.9909052
506702,363,0.44099775,0.680541,0.39566895,80.74215,13.945745,3.6069214
506703,364,0.510478,0.6515729,0.38650444,82.58101,9.31133,0.09904087
506747,365,0.56562126,0.67278534,0.40100795,82.63699,12.119144,4.3565936
506924,366,0.5107964,0.6475979,0.37921318,81.57253,13.083442,2.607726
506997,367,0.4737776,0.60957074,0.36508632,82.868385,10.414021,2.5274594
514888,368,0.4836003,0.76248366,0.45462975,83.45297,10.698699,5.8714104
514913,369,0.47482893,0.65205383,0.3652492,79.06053,11.403585,-2.30245
514917,370,0.44521698,0.6510011,0.39052472,80.63192,4.901836,0.521755
516416,371,0.49038455,0.7540487,0.42696637,84.269394,8.940299,-2.0204422
516472,372,0.5474194,0.6827217,0.3987011,79.78665,7.3228273,1.4960288
516770,373,0.5049399,0.7069929,0.40923634,84.26151,9.5971575,3.8106487
516782,374,0.5292843,0.6635919,0.39700538,83.06939,7.048657,0.676748
516809,375,0.4714194,0.56431514,0.3458624,82.844475,7.3014197,2.748982
516811,376,0.46478415,0.66184986,0.38346094,81.60853,8.563783,-2.7836182
516949,377,0.536993,0.6225289,0.38003108,81.28462,12.269283,6.7742643
