,Hard throwers (top 20% velo),Soft tossers (bottom 20% velo),Fastballs up (top 20% share of FBs in top third of zone),Fastballs rarely up (bottom 20% share of FBs in top third of zone),Breaking balls buried (top 20% share of breaking balls below zone),Breaking balls rarely buried (bottom 20% share of breaking balls below zone),Breaking-ball heavy (top 20%),Fastball heavy (bottom 20% brk),"North-south (top 40% on both: FBs in top third, breaking balls below zone)","Power elevators (top 40% on both: velo, FBs in top third of zone)","Soft breakers (velo bottom 40%, brk top 40%)",name,stand,prior_pa_R
672640,1.885387445798744,0.11997399337266279,0.7025845636168202,-0.3215451360601735,-0.29589872828492636,0.11152304220835799,0.6442837377455248,-0.3509418187569236,0.2971993723128518,0.9879694974385924,-0.030218290005580475,Otto Lopez,R,8.0
667472,-2.723589916271674,2.0468987774001266,-0.6016761398745709,0.7928963362581154,-1.5565992440040346,0.6466158171965597,-0.11033868212423391,1.262259083560922,-2.303004625976752,-2.608361802014041,1.2479476067502016,Dane Myers,R,50.0
681146,6.462955025267513,-3.7246995550783235,4.231454502483624,-3.303977629078651,3.874205243308744,-1.4876821053023386,1.790709747894225,-1.0534500597656575,6.101682912019712,4.902535905032173,-2.882226823976826,Jonah Bride,R,186.0
660766,-1.1329968498102965,-0.6470859038000472,-5.990824315227046,5.459386996180556,0.5920533959895707,0.1919797131077766,-0.13534785323532555,-1.9549646095953752,-4.142210396444152,-3.920839005618618,0.33341883615041606,Juan Yepez,R,238.0
696285,3.6572675395296472,-2.643620804995003,4.971042885456391,-5.023266664001204,-0.4591879509042781,0.06512718908165238,2.2028500772003023,-0.6226709105090427,4.961164283286149,4.6442860242222945,-1.4504732038196595,Jacob Young,R,90.0
671083,6.746052898308855,-3.2298903349578114,2.1013747342145863,-2.4979141920927854,2.528985898110793,-1.132604796439334,2.800854055745353,-1.4437738634668602,4.332824857382025,5.155643846722922,-0.9770269079718655,Buddy Kennedy,R,53.0
624641,-0.2683410593408884,-1.231739016841597,-1.0343541744323128,0.8558231913600985,-2.808435551437056,0.9060948542720623,1.064053078379421,-3.1978232134562363,-1.824294538778059,0.20534209218588836,1.4105718169798112,Edmundo Sosa,R,530.0
664761,-1.1599654704990214,-0.36918225353547507,3.6943225982197263,-1.4574019042443507,0.19804127716524386,-0.8456679340940927,0.07371694233967066,1.1435983691507599,2.5115519695199864,0.7501058444714522,0.11568883765055624,Alec Bohm,R,1317.0
642215,-0.09543402870997544,2.0791296771759393,-1.8447360532949568,2.209600769414636,0.9944278031596665,0.1560278638536719,0.2477042318226333,-0.26984056988654803,-1.3239155196032588,-1.8341127047164696,0.9179981031539902,Weston Wilson,R,13.0
607208,3.122646979620127,-5.061443968466675,2.0764482693413226,-3.910048791887183,0.6806489438074392,-1.0009892350827838,-1.343859619846239,0.6055204090629925,3.636572666769081,5.155875867875189,-4.708707932265906,Trea Turner,R,3307.0
