pitcher,p_throws,n_pitches,n_fb,fb_velo,fb_height,brk_share,bf,fb_velo_tercile,fb_height_tercile,brk_share_tercile
608032,R,6410,4374,97.42654320987654,2.718559520816068,0.2112324492979719,1603,2,2,0
608328,R,3083,1517,91.96552406064602,2.946612088834574,0.4417774894583198,786,0,2,2
608331,L,11103,5632,93.68433948863635,2.6363651265082897,0.4067369179501036,2844,2,1,2
608334,R,2633,1273,93.13951296150826,2.284995209021557,0.11963539688568173,650,1,0,0
608335,R,1503,932,95.52446351931331,2.5106876368723854,0.30538922155688625,379,2,1,1
608337,R,17002,8581,93.24556578487355,2.751589987640018,0.2416774497117986,4248,1,2,1
608344,L,7253,4106,90.78494885533365,2.694458518468115,0.18943885288845994,2042,0,2,1
608349,R,5235,3611,96.31534201052341,2.6739009226814856,0.3063992359121299,1237,2,2,1
608371,R,4477,2067,93.47837445573295,2.934573398614981,0.4905070359615814,1078,1,2,2
608379,R,18189,8864,93.78358528880865,2.620268514580061,0.10099510693276156,4613,1,1,0
608566,R,15788,8784,95.12478369763205,2.4943321628709647,0.40112743856093236,4175,2,1,2
608601,R,650,334,93.17814371257485,2.677338458879963,0.28307692307692306,159,1,2,1
608638,R,3063,1552,96.16585051546392,2.206735779670821,0.47567744041789095,796,2,0,2
608641,L,471,224,90.13794642857144,2.435393323351547,0.28662420382165604,127,0,0,1
608648,R,7851,4191,92.00849439274636,2.560456022942878,0.41943701439307096,2031,0,1,2
608650,L,446,266,93.2703007518797,3.0683554501738453,0.05605381165919283,109,2,2,0
608652,R,1920,963,91.70207684319834,2.8372544511005486,0.46145833333333336,457,0,2,2
608665,R,10324,6559,93.87115413935051,2.2313889222868686,0.13628438589693917,2751,1,0,0
608678,R,5625,2679,94.65248226950355,2.584486969624556,0.2174222222222222,1479,2,1,0
608716,R,3369,2411,94.59381999170469,2.7921675469847695,0.19323241317898487,815,2,2,0
608717,R,9235,4860,92.14088477366255,2.628557707158179,0.35863562533838655,2316,0,1,2
608718,L,7374,5184,86.50707947530864,2.8771144826380732,0.13303498779495526,1889,0,2,0
608723,R,5219,2699,93.0899592441645,2.6295787100388948,0.3249664686721594,1292,1,1,1
611093,R,1720,991,93.27558022199798,2.776648709005605,0.17383720930232557,432,1,2,0
612434,R,7459,3781,96.63520232742661,2.2003633142715344,0.32591500201099344,1929,2,0,1
612672,L,8711,5206,91.434978870534,2.597649830128473,0.30065434508093214,2269,1,1,1
613317,L,240,129,91.21782945736435,2.5524551504478583,0.4625,65,0,1,2
613534,R,2127,459,94.58148148148149,2.7012351362662503,0.7842031029619182,512,2,2,2
614179,R,3874,2133,96.66038443506798,2.755007099871607,0.32034073309241096,980,2,2,1
615698,R,9130,4541,94.05122219775379,2.6870116324288853,0.12475355969331874,2390,1,2,0
617228,R,1775,833,95.9937575030012,2.388806197539723,0.1447887323943662,452,2,0,0
620454,L,685,386,94.7821243523316,2.941804616893613,0.43503649635036495,165,2,2,2
620982,R,616,356,95.39662921348314,2.484562940318931,0.13474025974025974,157,2,0,0
621016,R,1849,1225,92.77485714285714,2.569413940674955,0.3055705786911844,472,1,1,1
621051,R,1805,791,94.79936788874842,2.9085890823845015,0.5135734072022161,433,2,2,2
621052,R,2533,1468,96.94448228882834,2.753932162622893,0.2874062376628504,616,2,2,1
621056,R,1514,803,93.9098381070984,2.7220471624116676,0.37846763540290623,393,1,2,2
621057,R,852,444,94.684009009009,2.849669762401161,0.11737089201877934,219,2,2,0
621058,R,993,519,91.00462427745666,2.7446456343446344,0.28298086606243705,263,0,2,1
621074,R,2097,869,94.74200230149597,2.730585530385798,0.34954697186456846,531,2,2,2
621076,R,5397,3051,93.24614880367093,2.725765356156458,0.3157309616453585,1374,1,2,1
621078,R,374,178,90.35224719101124,2.4230036982907297,0.3342245989304813,91,0,0,1
621082,R,298,202,93.11237623762376,2.3245601810532106,0.2483221476510067,74,1,0,1
621086,R,329,176,90.49602272727272,2.352332418521865,0.26443768996960487,84,0,0,1
621097,R,1728,850,91.762,2.852650587505584,0.1753472222222222,425,0,2,0
621098,R,247,150,95.048,2.53287226571417,0.2388663967611336,60,2,1,1
621107,R,12825,6939,93.19978383052313,2.3973109321248405,0.3132943469785575,3425,1,0,1
621111,R,9844,5457,96.0631115997801,2.7013560076794305,0.2720438845997562,2482,2,2,1
621112,R,5942,2680,91.15317164179105,2.3811893674909936,0.23409626388421406,1531,0,0,0
621114,R,1249,688,94.75116279069768,2.6520838424137767,0.1313050440352282,320,2,2,0
621121,R,11945,4809,94.30707007693907,2.5240581490150533,0.45835077438258687,3014,1,1,2
621129,R,576,285,94.58666666666667,2.562624727873094,0.3732638888888889,147,2,1,2
621139,R,393,205,95.08341463414634,2.453726334830176,0.09669211195928754,103,2,0,0
621141,R,875,447,92.6440715883669,2.672784753469083,0.23314285714285715,248,1,2,0
621142,R,1931,1110,96.66144144144144,2.836499339433798,0.27239772138788193,490,2,2,1
621199,R,3074,1796,91.78129175946549,2.151483019777625,0.21307742355237475,784,0,0,0
621209,R,590,314,91.57484076433121,2.3455620309973297,0.3644067796610169,148,0,0,2
621219,R,4131,2444,89.43330605564648,2.3740706472365027,0.23989348825950133,1078,0,0,1
621237,L,4924,3441,98.48575995350188,2.465057608166905,0.07757920389926888,1213,2,1,0
621242,R,6581,4057,97.85245255114617,2.6874871127304236,0.38170490806868257,1630,2,2,2
621244,R,19350,10928,93.59622071742314,2.524579435298676,0.2958139534883721,5114,1,1,1
621248,R,996,471,89.89554140127389,2.4695449513313217,0.29518072289156627,280,0,0,1
621249,R,3127,1338,94.42683109118087,2.564313814595262,0.20370962583946275,822,1,1,0
621261,R,1535,974,90.85112936344969,2.628962868569419,0.19022801302931597,400,0,1,0
621281,R,385,146,90.33013698630137,2.1160061310257894,0.12207792207792208,103,0,0,0
621289,R,678,516,94.96550387596899,2.6608503584460865,0.21238938053097345,146,2,2,0
621290,R,225,77,90.68311688311688,2.421274155181416,0.6577777777777778,57,0,0,2
621294,R,867,429,94.73543123543124,2.5305832037845684,0.27566320645905423,220,2,1,1
621295,R,5483,3420,92.38894736842106,2.5320871782188488,0.15830749589640708,1387,0,1,0
