batter,stand,stratum,centered_obs,centered_pred,agree
670032,L,high,-0.04006150808574304,0.006606394211426125,False
670042,L,low,-0.06847881613034684,-0.010997785359719875,True
670097,R,medium,-0.08517101725193492,-0.008161580970451384,True
670156,L,low,-0.023447563641298644,-0.0052210372231315735,True
670242,L,low,-0.09547533792794394,-0.012714029935637777,True
670541,L,high,0.08161529352383945,-0.017761307175609677,False
670623,R,medium,0.04634222960341089,0.0009545198380971169,True
670764,L,medium,0.001999488512896358,0.015698051256104226,True
670770,L,medium,0.030151267332532254,0.0019988596882396237,True
671056,R,low,-0.08433554927163932,0.0014327773044354175,False
671083,R,low,-0.1556733982043159,-8.163182499978244e-05,True
671213,L,medium,0.015681466157518354,-0.01565575567999198,False
671218,R,low,0.1801334846136716,-6.379525014238267e-05,False
671277,L,medium,-0.028017663851370847,-0.008495724664855077,True
671286,R,low,0.0718423160813983,0.0004478704994059172,True
671289,R,low,-0.03083878047662781,-0.0017136998657058828,True
671732,L,low,0.05004081776729956,-0.015168605372514875,False
671739,L,medium,0.06951999588671816,-0.018261092384500778,False
672275,L,low,-0.06141376311765285,0.015648463238477524,False
672279,L,low,0.011128353612588855,-0.0032768312436460764,False
672284,L,medium,-0.04640045253018755,-0.009734045098185179,True
672356,R,medium,0.04717978403011629,-0.0046252296208683825,False
672386,R,medium,-0.012816982164215708,0.00012661604055081745,False
672515,R,medium,0.0035713815257578906,-0.0021351398971432827,False
672569,L,low,0.061745272616011156,0.01776868775401532,True
672580,R,medium,-0.01391526466936551,-0.00019238857617068228,True
672640,R,low,-0.09880560183651942,0.0007193858299052169,False
672642,L,low,0.08058931989999656,0.01776868775401532,True
672695,L,medium,0.04910988412852696,0.028129351708456523,True
672761,L,low,-0.005040459920605547,0.01776868775401532,False
672820,R,low,0.05283389094616199,-0.003865082372334584,False
673237,R,low,0.0035558559662180918,-0.004947793417877882,False
673357,R,medium,-0.05151689337644731,-0.006104944974417983,True
673490,R,high,0.00035728779730028956,0.0004799039589675168,True
673548,R,medium,-0.02404700863503521,-0.0009412190258597831,True
673962,R,medium,0.008120325746692792,0.0023784179473884167,True
673995,R,low,-0.0589890352699529,0.0004478704994059172,False
675961,R,low,0.1662581494147317,-0.003099619428843082,False
676059,R,low,-0.04337247280053341,0.0035604744185441153,False
676070,R,low,0.06537183989092209,0.0006152799608243175,True
676113,L,low,0.03649642558203826,-0.005321757643873874,False
676116,L,low,0.09985159094807317,-0.009605703801728274,False
676356,R,low,-0.04716484009575771,-0.0032113028129113833,True
676369,R,medium,0.04071499465282699,0.001711300863475717,True
676391,R,medium,-0.06285597083881991,-0.004690262510138883,True
676475,L,low,-0.08689758119994453,-0.01077936628975118,True
676572,R,low,-0.2711733982043159,0.0004478704994059172,False
676609,R,medium,-0.0018560794735450088,-0.002405244125033283,True
676694,R,medium,0.04854683361865558,-0.0017285893863529835,False
676701,R,medium,-0.1254558657367834,-0.001583982095191283,True
676801,R,medium,-0.03071830348312901,-0.0026149660859834823,True
676914,R,low,-0.079728080176169,-0.002186372975960183,True
677008,L,low,0.06594549191425675,-0.012682338288921777,False
677347,R,low,-0.19654633776475539,0.0007263922758564169,False
677587,L,low,0.04438122540119996,0.018086614178382823,True
677588,L,low,-0.08802534141907645,-0.003819288632948274,True
677594,R,medium,-0.01712412773393271,0.0016194322340861173,False
677649,R,medium,-0.08801969563295162,-0.0014566571088766838,True
677800,L,low,-0.07724502589145144,-0.013474960114449978,True
677870,R,low,0.05389779853271309,0.0004478704994059172,True
677941,R,low,-0.11468255571347331,-0.00014287054529318367,True
677942,R,low,0.0956030413587454,0.0004478704994059172,True
677950,L,medium,-0.050840427999163045,-0.01013953614872918,True
