batter,name,stand,stratum,log_prior_pa,level_query,woba_level,pa_2024,woba_2024
596117,Garrett Stubbs,L,low,5.796057750765372,0.2626612589316155,0.2804786585365854,187,0.25776881720430106
596129,Dan Vogelbach,L,medium,7.534762657037537,0.3268787270842838,0.3294371993586317,79,0.2619620253164557
596142,Gary Sánchez,R,high,7.980707820869669,0.336381254217643,0.3305696202531645,280,0.3071107142857143
596146,Max Kepler,L,high,8.253227645581772,0.345732712105231,0.3231523834331857,399,0.2981105527638191
600869,Jeimer Candelario,L,high,8.016317898503415,0.3201145085642287,0.3208012545394519,463,0.30354545454545456
602104,Ramón Urías,R,medium,7.057036981697891,0.32411835754126,0.3216275862068966,301,0.32530564784053156
605113,Nick Ahmed,R,high,8.027476530860483,0.2841246951920103,0.2869105452171074,228,0.24849333333333334
605131,Austin Barnes,R,high,7.340186835320115,0.3033998547486917,0.2965525974025974,156,0.2893766233766234
605137,Josh Bell,L,high,8.291045131081729,0.3509929506539043,0.341551793328317,603,0.31678726968174203
605141,Mookie Betts,R,high,8.614501373883236,0.3723835041863856,0.3817313974591652,516,0.3709941634241245
605170,Víctor Caratini,L,medium,7.352441100243583,0.3284813684371743,0.2961045542014112,274,0.3243882783882784
605204,J. D. Davis,R,high,7.590346945602565,0.3214862250298332,0.3353013144590495,157,0.28217834394904456
605346,Jack López,R,low,2.70805020110221,0.2511653312080659,0.2268571428571428,71,0.2768
605361,Nick Martini,L,low,6.018593214496234,0.3031435579721441,0.3369048780487805,163,0.27880864197530864
606115,Orlando Arcia,R,high,7.901747518520144,0.2977882257606288,0.2927660125879304,602,0.27270666666666665
606192,Teoscar Hernández,R,high,8.07215530818825,0.3383941133421991,0.3402347798938495,652,0.3598672839506173
606466,Ketel Marte,L,high,8.276903481267057,0.3419505513730121,0.341458661918087,583,0.3910347222222222
606992,Eric Haase,R,medium,6.98100574072173,0.2928815230636756,0.2879311627906977,69,0.3500724637681159
607043,Brandon Nimmo,L,high,8.018954683155718,0.3307601740501252,0.361577872900889,663,0.32052567975830815
607054,Jace Peterson,L,medium,7.889084407035514,0.2946167996581161,0.2949212598425196,26,0.11342307692307692
607208,Trea Turner,R,high,8.392763113038061,0.3365919909053685,0.3552754870865428,539,0.34910760667903523
607680,Kevin Pillar,R,high,8.244071270295786,0.3090934203328803,0.301568349106204,314,0.292517571884984
607732,Jacob Stallings,R,medium,7.313220387090301,0.3033562595049275,0.2866490993995997,281,0.3526379928315412
608070,José Ramírez,L,high,8.525756422076725,0.3531574051890189,0.3627138040460134,682,0.364304932735426
608324,Alex Bregman,R,high,8.339261982923576,0.3493426062486376,0.3681536806883365,634,0.3307314375987362
608336,Joey Gallo,L,high,8.046549357283078,0.3406192046875403,0.3367664958360025,260,0.2758
608348,Carson Kelly,R,high,7.297091005160418,0.3113226185552097,0.2947484745762712,313,0.30417571884984024
608369,Corey Seager,L,high,8.262816937670928,0.3678329926028125,0.36896955624355,533,0.36470114942528736
608385,Jesse Winker,L,high,7.722234744709607,0.3334687667366857,0.3536034559149313,508,0.33784722222222224
608596,Tom Murphy,R,high,6.917705609835305,0.2914949108419199,0.3264747274529237,38,0.20589473684210527
608671,Travis Jankowski,L,medium,7.3031700512368,0.2733935247905518,0.2890316711590296,207,0.2338743961352657
608701,Rob Refsnyder,R,high,6.932447891572509,0.3251597970912265,0.303224609375,307,0.35834210526315785
608841,Joey Meneses,R,medium,6.79794041297493,0.3302995315436734,0.336004469273743,313,0.26380128205128206
