batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff,name,stand_names,mean_cosine_real,mean_cosine_null
471865,282,8961,0.5133355652270952,L,0.2902173913043478,0.7097826086956521,0.3394914580850218,0.7361853832442068,89.38703815869171,108.5,7.932162325863113,,0.4386292834890966,0.3422645480808914,671.0,1752.0,671.0,1752.0,7.793174347189205,high,0.0954768907920434,Carlos González,L,0.8777148559911271,0.06458112464637067
472528,283,6426,0.4536258948023653,L,0.2562607204116638,0.7437392795883362,0.2487503675389591,0.6839669421487603,88.57179487179486,102.65,17.192102454642477,,0.4894795127353267,0.3126611624834874,304.0,1210.0,304.0,1210.0,7.323170717943469,medium,0.0495021422357546,Luis Valbuena,L,0.8657346948365408,0.05594775742859444
473724,284,290,0.496551724137931,R,0.1666666666666666,0.8333333333333334,0.344,0.6121212121212121,84.69285714285714,101.82,21.557142857142857,,0.4142857142857143,0.1904597701149425,36.0,51.0,36.0,51.0,4.477336814478207,low,0.1015686274509803,Matt Mcbride,R,0.9121229289858485,0.0054284234696839045
474233,285,1493,0.4621567314132619,L,0.2942028985507247,0.7057971014492753,0.2855361596009975,0.6671490593342981,88.58693693693694,102.88,17.806306306306308,,0.555045871559633,0.3008434065934066,121.0,243.0,121.0,243.0,5.8998973535824915,medium,0.0372635105261367,Hank Conger,L,0.9424905283579789,-0.037388143981701955
474249,286,43,0.4186046511627907,R,0.2777777777777778,0.7222222222222222,0.25,0.631578947368421,91.03333333333336,93.68,-16.0,,0.3333333333333333,0.0687,5.0,5.0,5.0,5.0,2.3978952727983707,low,0.1374,Ryan Jackson,R,0.8568328099745915,0.045642536467832784
474319,287,224,0.5133928571428571,R,0.3043478260869565,0.6956521739130435,0.3611111111111111,0.6551724137931034,90.65882352941176,104.75,12.029411764705882,,0.4242424242424242,0.3519811320754717,18.0,35.0,18.0,35.0,3.9889840465642745,low,0.4608761904761904,Brandon Snyder,R,0.9110958088467245,-0.025608796676305196
474443,288,1943,0.4379825012866701,R,0.199764982373678,0.800235017626322,0.2400813835198372,0.640625,85.33333333333333,98.7,5.653846153846154,,0.3116883116883117,0.288517316017316,112.0,350.0,112.0,350.0,6.137727054086234,low,-0.0031696428571428,Iván De Jesús,R,0.9282797306568545,0.24489010245460247
474463,289,382,0.3769633507853403,L,0.4722222222222222,0.5277777777777778,0.2045454545454545,0.5242718446601942,78.16486486486487,95.64,-0.6486486486486487,,0.3611111111111111,0.1410384615384615,9.0,43.0,9.0,43.0,3.970291913552122,low,0.0521808785529716,Brett Anderson,L,0.9314760671133502,0.04190179573167275
474494,290,190,0.3684210526315789,R,0.2714285714285714,0.7285714285714285,0.2234042553191489,0.5104166666666666,89.92083333333333,100.37,4.375,,0.3636363636363636,0.2700681818181818,8.0,36.0,8.0,36.0,3.80666248977032,low,0.0144305555555555,Thomas Field,R,0.8526983136760224,0.11477090732996632
474568,291,9410,0.4278427205100956,R,0.1716343765524093,0.8283656234475907,0.2672628951747088,0.5956106040851804,86.73826037521319,101.4,10.827743035815804,,0.4204345273047563,0.2966631623212784,571.0,1807.0,571.0,1807.0,7.774435510302958,high,0.0460951088247009,Jordy Mercer,R,0.8742731057967341,-0.07027817931533129
474668,292,1,0.0,L,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,low,,Eric Surkamp,L,0.8228880437483523,0.15941356640666504
474832,293,16377,0.4642486413873115,L,0.2456924898066552,0.7543075101933447,0.2170222271864179,0.7623922413793104,88.3499362515937,103.7,21.157246068848277,70.95186440677966,0.439810834049871,0.3552001510574018,1048.0,2924.0,1048.0,2924.0,8.287276755814599,high,0.0444319803991186,Brandon Belt,L,0.9181880715853137,0.041308872875090455
474865,294,36,0.6388888888888888,L,0.2608695652173913,0.7391304347826086,0.5,0.7777777777777778,83.54444444444444,92.94,12.333333333333334,,0.1111111111111111,0.2701538461538461,4.0,9.0,4.0,9.0,2.6390573296152584,low,-0.2438888888888888,Julio Borbon,L,0.879959065244938,-0.10510745307291725
474892,295,5578,0.4514162782359268,R,0.3621922160444797,0.6378077839555203,0.2505785123966942,0.6893850372111242,91.2131994261119,108.2,19.99139167862267,,0.4077380952380952,0.3268785332314744,407.0,902.0,407.0,902.0,7.177782416195197,medium,0.0067121112243063,Chris Carter,R,0.8947299703793078,-0.09329621158220062
475100,296,1544,0.4572538860103627,R,0.2577903682719547,0.7422096317280453,0.2445582586427656,0.6749672346002621,87.36590909090908,103.17,16.803030303030305,,0.4609375,0.286880195599022,186.0,223.0,186.0,223.0,6.016157159698354,medium,0.0593441824581705,Scott Van Slyke,R,0.7472799330142383,0.09819310892415484
475115,297,425,0.4023529411764706,R,0.2631578947368421,0.7368421052631579,0.2146596858638743,0.5555555555555556,90.61206896551724,102.78,3.896551724137931,,0.2586206896551724,0.2737377049180328,20.0,41.0,20.0,41.0,4.127134385045092,low,0.0898073170731707,Tyson Ross,R,0.8853153939165009,-0.08732635339175533
475174,298,8948,0.4742959320518551,L,0.207822808671065,0.7921771913289349,0.2710553814002089,0.707902954600048,88.3251968503937,104.0,13.60266505148395,,0.4777227722772277,0.320088085106383,449.0,1901.0,449.0,1901.0,7.762596048540069,medium,0.0316359025668121,Yonder Alonso,L,0.8637405387210332,0.05898142966042297
475247,299,2773,0.4496934727731698,L,0.2293504410585405,0.7706495589414595,0.2548611111111111,0.660165041260315,88.74677060133631,103.5,6.8240534521158125,,0.4611872146118721,0.2660814606741573,114.0,598.0,114.0,598.0,6.569481420414296,medium,0.0256016546382679,Ryan Flaherty,L,0.8645906133018297,0.09825082549976216
475253,300,10230,0.4188660801564027,L,0.239906651108518,0.760093348891482,0.236441739752998,0.6383803575274607,90.16660256410256,104.8,15.88076923076923,,0.4883561643835616,0.3372889417360285,650.0,1873.0,650.0,1873.0,7.833600223661104,high,0.0200248675510287,Justin Smoak,L,0.8695713059800496,0.034335664515192967
475582,301,8723,0.4288662157514616,R,0.226944667201283,0.773055332798717,0.2902879243661366,0.5873679036618333,91.93322475570032,107.4,8.241042345276872,,0.3693754197447951,0.3338289711191335,595.0,1621.0,595.0,1621.0,7.703910209616312,high,0.0915922975235745,Ryan Zimmerman,R,0.8535532877030882,-0.015077883326990199
476192,302,199,0.4974874371859296,L,0.303030303030303,0.696969696969697,0.3047619047619048,0.7127659574468085,86.4470588235294,104.42,6.647058823529412,,0.5142857142857142,0.2028076923076923,3.0,49.0,3.0,49.0,3.970291913552122,low,-0.0277959183673469,Johnny Monell,L,0.9016844344518083,-0.30032868035262794
476270,303,140,0.4214285714285714,R,0.1694915254237288,0.8305084745762712,0.2166666666666666,0.575,81.96896551724137,98.02,-1.4137931034482758,,0.3793103448275862,0.3339333333333333,25.0,20.0,25.0,20.0,3.828641396489095,low,0.15459,Steven Tolleson,R,0.9364255377496047,0.08736385883046179
476451,304,755,0.4079470198675496,R,0.211038961038961,0.788961038961039,0.2652439024390244,0.5175644028103045,80.865,94.7,-3.03,,0.3917525773195876,0.1901724137931034,16.0,42.0,16.0,42.0,4.07753744390572,low,0.024360119047619,Jeremy Hellickson,R,0.9429764798587912,0.18533588945952753
476570,305,6,0.3333333333333333,R,0.0,1.0,0.0,0.5,,,,,,0.0,0.0,1.0,0.0,1.0,0.6931471805599453,low,,Vin Mazzaro,R,0.8990253332540254,0.0021445284249614477
476594,306,16,0.5,L,0.5,0.5,0.1428571428571428,0.7777777777777778,89.05,97.41,9.5,,0.0,0.0,2.0,2.0,2.0,2.0,1.6094379124341005,low,0.0,Robert Stock,L,0.9334203910692926,-0.1682437240688886
476633,307,441,0.492063492063492,L,0.1705069124423963,0.8294930875576036,0.3416666666666667,0.6716417910447762,89.31917808219178,102.16,25.82191780821918,,0.4202898550724637,0.3290090909090909,18.0,92.0,18.0,92.0,4.709530201312334,low,0.0698900966183574,Chris Parmelee,L,0.9098963301183149,-0.09716789865940494
476704,308,10589,0.4650108603267542,L,0.1825751421608448,0.8174248578391552,0.2217659137577002,0.7140672782874617,88.74952025586354,101.5,16.538912579957355,,0.4273079049198452,0.318315233785822,757.0,1895.0,757.0,1895.0,7.88344635413774,high,0.0116018138534626,Jed Lowrie,L,0.9130350789040447,0.13860083952193814
476883,309,4119,0.4556931294003399,L,0.3042088438998401,0.6957911561001598,0.2879377431906614,0.6705426356589147,92.14397496087636,109.8,9.838810641627544,,0.5152487961476726,0.3354135559921414,118.0,900.0,118.0,900.0,6.926577033222725,medium,0.0114721468926554,Pedro Álvarez,L,0.8722810630325131,-0.01809287120497257
477003,310,363,0.3911845730027548,L,0.1830985915492957,0.8169014084507042,0.2138364779874214,0.5294117647058824,82.09148936170213,98.04,-6.723404255319149,,0.2978723404255319,0.2059473684210526,14.0,43.0,14.0,43.0,4.060443010546419,low,-0.0606677740863787,Jonathon Niese,L,0.9262246158743586,0.03572477006384245
477132,311,1219,0.4520098441345365,L,0.2504537205081669,0.7495462794918331,0.3153456998313659,0.5814696485623003,82.41658031088083,97.38,-3.38860103626943,,0.3279569892473118,0.1823140794223826,91.0,186.0,91.0,186.0,5.627621113690637,low,0.0333948363464492,Clayton Kershaw,L,0.9044782737116577,-0.06592269399958187
