anchor,anchor_name,p_throws,x_bin,z_bin,n_pitches,quantity,anchor_value,league_value,delta
665742,Juan Soto,R,2.0,2.0,2715,p_swing,0.7659394271562003,0.734655212145923,0.03128421501027734
665742,Juan Soto,R,2.0,2.0,2715,p_contact,0.9046160237784763,0.8774962120915645,0.0271198116869118
665742,Juan Soto,R,2.0,2.0,2715,q,0.5822950682697156,0.4277883057616802,0.15450676250803536
665742,Juan Soto,R,2.0,3.0,1919,p_swing,0.7630940927595382,0.7247904112756676,0.038303681483870644
665742,Juan Soto,R,2.0,3.0,1919,p_contact,0.8026608422965417,0.7951616362785535,0.007499206017988147
665742,Juan Soto,R,2.0,3.0,1919,q,0.5781664354314153,0.3733612532505242,0.2048051821808911
665742,Juan Soto,R,2.0,4.0,1314,p_swing,0.356901530960764,0.4100907918637558,-0.05318926090299181
665742,Juan Soto,R,2.0,4.0,1314,p_contact,0.43699664240660463,0.47987416580055386,-0.042877523393949235
665742,Juan Soto,R,2.0,4.0,1314,q,0.37808372642805227,0.27076851812816444,0.10731520829988783
665742,Juan Soto,R,3.0,0.0,2546,p_swing,0.12991672494122822,0.3658994680718875,-0.23598274313065928
665742,Juan Soto,R,3.0,0.0,2546,p_contact,0.22348066681174217,0.3374400827103146,-0.11395941589857245
665742,Juan Soto,R,3.0,0.0,2546,q,0.2087918523924377,0.2562409733658992,-0.04744912097346149
665742,Juan Soto,R,3.0,1.0,2289,p_swing,0.3914524192415062,0.5521580467582207,-0.16070562751671447
665742,Juan Soto,R,3.0,1.0,2289,p_contact,0.7813432194640825,0.7819944111721948,-0.000651191708112342
665742,Juan Soto,R,3.0,1.0,2289,q,0.36299663151310435,0.353194990843248,0.009801640669856337
665742,Juan Soto,R,3.0,2.0,2201,p_swing,0.5656785058824075,0.6224007608865078,-0.05672225500410022
665742,Juan Soto,R,3.0,2.0,2201,p_contact,0.8777481043327944,0.8511325504576304,0.02661555387516401
665742,Juan Soto,R,3.0,2.0,2201,q,0.45063941319494666,0.36844138330299714,0.08219802989194952
665742,Juan Soto,R,3.0,3.0,1296,p_swing,0.5871234995486894,0.6063910914943088,-0.019267591945619444
665742,Juan Soto,R,3.0,3.0,1296,p_contact,0.7983204534530272,0.7957560347980693,0.002564418654957823
665742,Juan Soto,R,3.0,3.0,1296,q,0.4648880797012905,0.34354519236953585,0.12134288733175463
665742,Juan Soto,R,3.0,4.0,745,p_swing,0.2641154838578867,0.32379808253219544,-0.05968259867430875
665742,Juan Soto,R,3.0,4.0,745,p_contact,0.49985688969292896,0.5544114532972741,-0.054554563604345185
665742,Juan Soto,R,3.0,4.0,745,q,0.32940286252922657,0.2655118429412778,0.0638910195879488
665742,Juan Soto,R,4.0,0.0,2687,p_swing,0.03693678276963121,0.16950442397093834,-0.13256764120130715
665742,Juan Soto,R,4.0,0.0,2687,p_contact,0.04673372913811372,0.09706060946292083,-0.050326880324807116
665742,Juan Soto,R,4.0,0.0,2687,q,0.16085690466231647,0.18695440592070273,-0.026097501258386252
665742,Juan Soto,R,4.0,1.0,1588,p_swing,0.10247038225583656,0.25364646328943596,-0.15117608103359942
665742,Juan Soto,R,4.0,1.0,1588,p_contact,0.3687254701164892,0.4323767940560266,-0.06365132393953737
665742,Juan Soto,R,4.0,1.0,1588,q,0.24391114157659732,0.2575237625074439,-0.013612620930846586
665742,Juan Soto,R,4.0,2.0,1094,p_swing,0.17059881236703142,0.2860680864107365,-0.11546927404370508
665742,Juan Soto,R,4.0,2.0,1094,p_contact,0.6250086000003718,0.6350529632002399,-0.010044363199868012
665742,Juan Soto,R,4.0,2.0,1094,q,0.28232352005171385,0.27368358450694863,0.00863993554476522
665742,Juan Soto,R,4.0,3.0,594,p_swing,0.15307072488395532,0.21478251055429612,-0.0617117856703408
665742,Juan Soto,R,4.0,3.0,594,p_contact,0.6929910865130988,0.7044292077215535,-0.011438121208454666
665742,Juan Soto,R,4.0,3.0,594,q,0.27509438004407416,0.26314355997751254,0.011950820066561618
665742,Juan Soto,R,4.0,4.0,278,p_swing,0.04841160188941061,0.08592860783010754,-0.03751700594069693
665742,Juan Soto,R,4.0,4.0,278,p_contact,0.492014632082298,0.5613334240893714,-0.06931879200707336
665742,Juan Soto,R,4.0,4.0,278,q,0.2188539193045321,0.2335655191162829,-0.014711599811750797
592626,Joc Pederson,R,0.0,0.0,602,p_swing,0.21140011928938623,0.23558154099382123,-0.02418142170443499
592626,Joc Pederson,R,0.0,0.0,602,p_contact,0.38694089623686373,0.3309334204974986,0.05600747573936515
592626,Joc Pederson,R,0.0,0.0,602,q,0.26468181464066143,0.23297420970786153,0.03170760493279989
592626,Joc Pederson,R,0.0,1.0,1070,p_swing,0.32061679872813925,0.3271374791781833,-0.0065206804500440585
592626,Joc Pederson,R,0.0,1.0,1070,p_contact,0.6687012072548131,0.6317767758318702,0.03692443142294288
592626,Joc Pederson,R,0.0,1.0,1070,q,0.2948539718707031,0.2649801822536599,0.029873789617043234
592626,Joc Pederson,R,0.0,2.0,1538,p_swing,0.3432085937099939,0.3300876826722377,0.0131209110377562
592626,Joc Pederson,R,0.0,2.0,1538,p_contact,0.741080411921179,0.7228999479487069,0.018180463972472083
592626,Joc Pederson,R,0.0,2.0,1538,q,0.2901038596229761,0.26848988405652874,0.02161397556644734
592626,Joc Pederson,R,0.0,3.0,1265,p_swing,0.26829438167515784,0.23941381793742825,0.028880563737729598
592626,Joc Pederson,R,0.0,3.0,1265,p_contact,0.6949241068111107,0.6691293146967918,0.0257947921143189
592626,Joc Pederson,R,0.0,3.0,1265,q,0.27923349979013323,0.26891274840316987,0.010320751386963367
592626,Joc Pederson,R,0.0,4.0,1139,p_swing,0.0866107415019173,0.07327381161629423,0.013336929885623072
592626,Joc Pederson,R,0.0,4.0,1139,p_contact,0.46373539706291445,0.4170633698649205,0.04667202719799396
592626,Joc Pederson,R,0.0,4.0,1139,q,0.23793640960403656,0.24503908249519313,-0.0071026728911565695
592626,Joc Pederson,R,1.0,0.0,1350,p_swing,0.3726385984781491,0.40165542295244366,-0.029016824474294545
592626,Joc Pederson,R,1.0,0.0,1350,p_contact,0.5273878871746301,0.4858199080181862,0.041567979156443946
592626,Joc Pederson,R,1.0,0.0,1350,q,0.31246142194226934,0.27267676836997273,0.0397846535722966
