batter,name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap,rank_model_pooled,rank_eb_pooled
664874,Seby Zavala,R,medium,130.0,0.010032717520282,0.01978914693177669,286,153,133,289,163
664901,Danny Mendick,R,medium,198.0,0.0119904184595147,0.01685238505997111,244,241,3,247,253
664913,Seth Brown,L,medium,203.0,-0.0412764396435491,-0.048845287996656606,196,203,-7,520,527
664983,Jake Mccarthy,L,medium,208.0,-0.0337167193918253,-0.020324035739747948,104,81,23,428,405
665019,Kody Clemens,L,low,41.0,-0.0354124651046001,-0.016113724041612376,138,67,71,462,391
665052,,L,low,0.0,-0.0345026837746298,-0.029682423196896013,111,126,-15,435,450
665161,Jeremy Peña,R,medium,325.0,0.0169171805696332,0.03303174962900862,50,27,23,50,30
665487,Fernando Tatís,R,medium,430.0,0.00959591927766,0.017926446290460862,296,228,68,299,239
665489,Vladimir Guerrero,R,high,624.0,0.0200016771498208,-0.000702943108412124,11,317,-306,11,365
665506,Cristian Pache,R,medium,161.0,0.015255099642376,0.042363912153024014,96,4,92,96,4
665561,Rafael Marchán,L,low,24.0,-0.0071705558993723,0.015353835139630345,21,13,8,343,261
665742,Juan Soto,L,high,1075.0,-0.03761479318985,-0.05833490412434322,162,221,-59,486,545
665750,Leody Taveras,L,medium,350.0,-0.0116250978792398,-0.0021612472929734006,41,49,-8,364,368
665782,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
665804,Miguel Amaya,R,low,64.0,0.0129135537303518,0.018879810807788,213,210,3,214,220
665828,Oswaldo Cabrera,L,low,102.0,-0.0081024755221426,0.009646506838784319,22,31,-9,344,318
665833,Oneil Cruz,L,medium,122.0,-0.0624816704522289,-0.04616427012246205,221,197,24,545,521
665839,Enmanuel Valdez,L,low,16.0,-0.0329761136183017,-0.034910506545458964,97,169,-72,421,493
665862,Jazz Chisholm,L,medium,295.0,-0.0384007735343118,-0.05568646902519947,172,217,-45,496,541
665877,José Fermín,R,low,19.0,0.0110464003492586,0.017378230729707844,266,235,31,269,247
665923,Esteury Ruiz,R,medium,168.0,0.0094397201927499,0.024079830115335488,297,87,210,300,95
665926,Andrés Giménez,L,medium,384.0,-0.0291842177374,-0.013884294337425995,72,63,9,396,387
665953,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
666018,Jonathan Aranda,L,low,16.0,-0.0355465882066692,-0.0286977190196252,141,119,22,465,443
666023,Freddy Fermin,R,low,66.0,0.0121556246225322,0.018208678596566663,238,222,16,240,233
