anchor,anchor_name,p_throws,pitch_type,balls,strikes,n_pitches,quantity,anchor_value,league_value,delta
665742,Juan Soto,L,breaking,1,1,1113,p_swing,0.35409647045131226,0.52037666008071,-0.16628018962939778
665742,Juan Soto,L,breaking,1,1,1113,p_contact,0.542709416745552,0.5751498681913506,-0.03244045144579866
665742,Juan Soto,L,breaking,1,1,1113,q,0.28993383487761826,0.2919981128226393,-0.0020642779450210647
665742,Juan Soto,L,breaking,1,2,1372,p_swing,0.41435813732815635,0.5790171627394397,-0.16465902541128336
665742,Juan Soto,L,breaking,1,2,1372,p_contact,0.48417522663902246,0.512357746259754,-0.028182519620731594
665742,Juan Soto,L,breaking,1,2,1372,q,0.24589798378462172,0.26563338120386504,-0.019735397419243322
665742,Juan Soto,L,breaking,2,0,166,p_swing,0.24110858886062092,0.3395736340117574,-0.09846504515113647
665742,Juan Soto,L,breaking,2,0,166,p_contact,0.5763746605475443,0.6050390762712311,-0.02866441572368683
665742,Juan Soto,L,breaking,2,0,166,q,0.33068049106612263,0.31161816481096916,0.019062326255153472
665742,Juan Soto,L,breaking,2,1,411,p_swing,0.38645294803291536,0.5506326597344159,-0.16417971170150053
665742,Juan Soto,L,breaking,2,1,411,p_contact,0.5566471709358874,0.5861016248303592,-0.029454453894471766
665742,Juan Soto,L,breaking,2,1,411,q,0.3095984616092522,0.3044241486716372,0.005174312937615
665742,Juan Soto,L,breaking,2,2,997,p_swing,0.5184880208487266,0.6655285208214191,-0.14704049997269253
665742,Juan Soto,L,breaking,2,2,997,p_contact,0.5881740793223308,0.6052555082104386,-0.01708142888810782
665742,Juan Soto,L,breaking,2,2,997,q,0.2847832063569827,0.29112329682505267,-0.006340090468069992
665742,Juan Soto,L,breaking,3,0,9,p_swing,0.02347256210729635,0.026019872844548094,-0.002547310737251743
665742,Juan Soto,L,breaking,3,0,9,p_contact,0.5264414598544439,0.5933510976990996,-0.06690963784465565
665742,Juan Soto,L,breaking,3,0,9,q,0.3000219654705789,0.2731869236214293,0.026835041849149588
665742,Juan Soto,L,breaking,3,1,75,p_swing,0.3279758181311384,0.4402869870008743,-0.11231116886973591
665742,Juan Soto,L,breaking,3,1,75,p_contact,0.5498142055488279,0.5770284278662979,-0.02721422231747006
665742,Juan Soto,L,breaking,3,1,75,q,0.29494286616643267,0.29972677584886553,-0.004783909682432863
665742,Juan Soto,L,breaking,3,2,407,p_swing,0.5997498575104925,0.694407628801885,-0.09465777129139252
665742,Juan Soto,L,breaking,3,2,407,p_contact,0.6614200082898677,0.6527874620821524,0.008632546207715253
665742,Juan Soto,L,breaking,3,2,407,q,0.3131975347052628,0.30599317302437684,0.007204361680885951
665742,Juan Soto,L,fastball,0,0,6576,p_swing,0.2861938577131389,0.2726451091157772,0.01354874859736166
