batter,embedding_index,swing,contact,split_inplay,ev,la,spray
458689,238,0.63939965,0.51763624,0.30481803,82.35591,9.916145,3.4665542
458731,239,0.3639115,0.68052226,0.41805404,82.14631,8.079221,-0.77719396
458913,240,0.47035077,0.5924096,0.36371556,78.45545,-0.6265906,0.011321563
459431,241,0.4724085,0.5918316,0.36919633,82.84276,5.334972,3.3962178
459964,242,0.45360595,0.5828839,0.36150935,80.234,7.527601,5.398499
460003,243,0.48205858,0.5478984,0.31880012,78.9621,11.659099,-7.3560452
460026,244,0.512055,0.6029531,0.33267522,82.12433,10.311022,1.0970438
460055,245,0.47826886,0.5799661,0.35273746,78.37279,11.022833,6.171068
460060,246,0.43309182,0.6456089,0.3759853,80.47813,10.479134,0.7925653
460075,247,0.5338721,0.6857228,0.39866084,87.170296,6.3283644,-0.08178018
460077,248,0.42911285,0.6453056,0.38851947,78.90537,16.249903,2.6474745
460086,249,0.46507338,0.6484708,0.38020205,82.78954,7.8257504,5.045609
460099,250,0.4058987,0.5961164,0.384124,80.12261,7.0394034,4.339415
460131,251,0.50796455,0.62191296,0.356947,85.170296,1.3096691,-4.1008506
460269,252,0.40776947,0.62546563,0.3991595,79.34688,6.61803,8.45997
460576,253,0.5717732,0.6504697,0.3505384,83.71604,17.055508,0.84155625
461235,254,0.5050313,0.61007404,0.34353805,83.35787,16.013874,6.357506
461314,255,0.5479628,0.6432716,0.41863936,83.748856,12.27403,3.2493906
461416,256,0.4754875,0.6321437,0.37686405,82.37092,3.7813683,0.4053677
461815,257,0.50058895,0.7019201,0.46369472,82.617615,7.3652344,5.1859202
461829,258,0.5185102,0.45803687,0.35380566,74.44955,9.34016,3.0725267
461858,259,0.45207855,0.6531991,0.40997627,84.457405,12.089176,5.2550173
461865,260,0.52712005,0.658088,0.35765907,79.562904,7.056125,-2.5865738
462101,261,0.45557696,0.7203505,0.45590878,82.79231,7.452995,2.668262
462564,262,0.43579847,0.5879894,0.3560992,80.1147,13.534244,9.858668
463610,263,0.5088672,0.6604036,0.37860206,82.7542,10.898654,-1.5245225
465041,264,0.39464647,0.60855937,0.3638827,81.87007,9.747512,2.52882
465674,265,0.5976971,0.68597883,0.37580714,79.16816,14.396,-0.9703921
465753,266,0.46313074,0.5464905,0.32085255,81.04156,9.574788,1.6264088
465784,267,0.44194484,0.60562104,0.35160583,80.899155,-1.7532165,-8.602546
466320,268,0.52108,0.7748141,0.46894947,85.65432,7.2006154,0.3459029
466948,269,0.5153955,0.45164105,0.29105037,82.30931,12.110822,-4.4640164
466988,270,0.4506714,0.63077265,0.39304823,80.634544,9.45399,-0.9537399
467055,271,0.5796359,0.71981275,0.41244757,88.145615,10.311412,-2.1838658
467070,272,0.519584,0.6186172,0.3223141,80.38594,14.000794,-3.221005
467092,273,0.5418523,0.67141783,0.4263548,85.47929,3.2392116,1.7037678
467100,274,0.56327873,0.43819246,0.26223877,76.07095,-11.295135,-7.318356
467143,275,0.581905,0.66236883,0.3512191,85.10557,17.427814,5.311027
467793,276,0.43606478,0.66709614,0.42330486,83.66975,8.653584,8.674073
467798,277,0.48703638,0.697599,0.40958288,83.5594,2.2429802,-1.1989117
467827,278,0.5555443,0.7157858,0.4206621,82.813255,8.6166525,1.1314981
468406,279,0.4833014,0.69094306,0.3874511,79.88134,13.170163,1.863751
468504,280,0.5273303,0.5645082,0.4268969,79.91402,4.4905443,7.355407
471083,281,0.50138146,0.63447535,0.39049417,82.245636,11.968062,0.109929174
471865,282,0.5782766,0.6211643,0.4039048,85.30627,6.7496066,-1.5733986
472528,283,0.4578399,0.6028489,0.3618121,83.15738,14.674818,4.6079316
473724,284,0.48615667,0.7218788,0.43885168,80.87822,13.680273,9.443589
474233,285,0.4661489,0.602631,0.40533313,82.79538,13.351709,10.77264
474249,286,0.35072345,0.70130676,0.41675043,83.31784,1.271223,-5.324769
474319,287,0.497348,0.60367405,0.34315485,82.93828,13.552074,-3.471202
474443,288,0.4350394,0.6594662,0.3867671,80.58155,10.148762,-4.917619
474463,289,0.44439074,0.27105758,0.23481493,71.76887,-2.4180696,-6.929326
474494,290,0.3179391,0.59736925,0.38122523,79.759346,4.747365,6.0046406
474568,291,0.4261871,0.7039022,0.43791038,81.41991,11.116121,3.449603
474668,292,0.30006072,0.71944475,0.44839665,81.85086,10.508476,0.20416045
474832,293,0.48225567,0.6219678,0.31691486,83.24875,18.46168,-0.5050897
474865,294,0.6296486,0.71040714,0.39495233,79.68945,-1.3717116,-6.332953
474892,295,0.45766145,0.4962438,0.3253755,83.546524,11.786555,4.851782
475100,296,0.47365364,0.62392014,0.3813105,82.2642,14.311689,5.289842
475115,297,0.38861236,0.5736685,0.35567683,83.604515,4.5133615,3.1001003
475174,298,0.5152285,0.65123606,0.38859797,82.15104,6.5765142,4.5797615
475247,299,0.45168102,0.63264763,0.41109973,83.07908,2.2127218,4.734799
475253,300,0.4476859,0.64194924,0.38805285,83.43819,11.26499,5.2435236
475582,301,0.46115887,0.6959347,0.46258497,88.01855,7.654349,0.09425722
476192,302,0.4988313,0.5709963,0.34525266,81.818665,4.591248,3.7061923
476270,303,0.39242882,0.6119894,0.3387029,77.18604,3.447496,-1.114985
476451,304,0.3402661,0.6476935,0.36921564,77.95314,-2.6384952,-5.8805747
476570,305,0.2300114,0.6219382,0.33936316,82.432816,6.358512,-7.5024004
476594,306,0.4024535,0.5085518,0.27252036,77.824486,-0.5493234,0.27711532
476633,307,0.51227087,0.6946808,0.34196275,86.223114,24.78519,-1.0866995
476704,308,0.45432484,0.65451616,0.3620611,82.45222,11.735406,-3.8931098
476883,309,0.4956579,0.593453,0.39987716,84.833626,6.9396453,5.2526894
477003,310,0.39515418,0.6613931,0.3428031,78.9992,1.7075984,-9.485363
477132,311,0.44397914,0.6209368,0.404,78.8128,-0.24938662,-7.437375
477165,312,0.44039157,0.5956804,0.3428842,83.33953,9.419066,3.231497
477195,313,0.4860286,0.6771007,0.4213582,83.43361,4.078817,-3.1120644
485567,314,0.404507,0.6273659,0.40005872,80.78615,3.999615,3.1818984
488671,315,0.35623756,0.48298302,0.30614018,80.90072,7.1260724,-0.67366517
488681,316,0.53048366,0.5980423,0.33350813,83.19756,13.745944,-3.3740132
488689,317,0.46308702,0.6866427,0.39016864,79.99976,12.207432,2.313587
488703,318,0.43676382,0.65255463,0.392185,78.53213,4.593281,-4.40261
488721,319,0.50591874,0.62387,0.39766368,80.88873,7.8680663,4.0856037
488726,320,0.45193586,0.77628624,0.46588534,84.06068,8.623961,0.88092643
488768,321,0.3968492,0.5899856,0.39384657,80.0366,-6.445874,5.168728
488771,322,0.45261943,0.56874317,0.33614618,83.68552,10.708234,-0.9149445
488810,323,0.5097846,0.6300841,0.3554849,83.24644,14.562824,-0.90165615
488818,324,0.46656117,0.6632162,0.41685447,81.063,12.692352,2.1918905
488852,325,0.43745884,0.5027909,0.32065946,79.62468,8.449071,8.602364
488862,326,0.49410415,0.68852675,0.41192937,83.228874,4.852951,-1.7197049
488912,327,0.46681643,0.6974849,0.41018024,82.137245,12.238667,2.706905
488984,328,0.59052163,0.66330296,0.3818157,80.96522,14.043103,12.1886425
489067,329,0.53227997,0.7506235,0.40878817,81.36512,7.6089306,-4.674012
489119,330,0.636975,0.6263331,0.39098623,78.57963,-2.378833,-5.538615
489138,331,0.4962811,0.6227146,0.35610077,83.21959,17.930737,8.5550585
489149,332,0.48991576,0.6698755,0.40227103,84.52786,10.817263,7.737868
489232,333,0.36514336,0.5546399,0.36637896,83.86783,11.614148,3.7084072
489267,334,0.45367843,0.5714407,0.35973212,82.327,10.419877,7.532411
489305,335,0.41968757,0.5817326,0.34788138,84.09537,14.598148,1.169902
489365,336,0.40901783,0.65123594,0.42427588,80.19585,6.8601723,4.5105734
491676,337,0.47917292,0.574379,0.33123633,81.258125,10.774777,-2.0005567
491696,338,0.49410695,0.6949542,0.41246757,80.73731,10.437127,-0.6636471
492802,339,0.589317,0.7240997,0.41839018,79.49419,8.697296,-1.3134097
492841,340,0.51014256,0.64900565,0.4350611,80.84678,7.4608464,-0.5677094
493114,341,0.44752544,0.73038185,0.4529542,80.77283,2.984381,-2.5162816
493128,342,0.42475072,0.6631473,0.3796693,80.06659,5.659194,-4.74848
493193,343,0.45846725,0.655517,0.3744201,83.097145,9.053354,3.7978175
493316,344,0.50247526,0.6801017,0.40496272,86.35341,17.698013,4.6367474
493329,345,0.50464904,0.7794694,0.49167058,85.282646,10.423256,3.2339625
493343,346,0.54479384,0.72675085,0.43026647,84.37575,9.138392,1.8111088
493351,347,0.49805146,0.74332327,0.4983319,80.42617,7.2690263,5.0169764
493472,348,0.40041894,0.61758727,0.3584165,79.895454,10.295168,2.2615318
493596,349,0.45485985,0.64447373,0.36938947,82.27782,16.042152,1.260598
499624,350,0.4740082,0.61539936,0.39889246,83.91238,4.9033394,-0.9434297
499864,351,0.49026188,0.67108804,0.38881993,79.73308,12.205296,10.752551
500135,352,0.550342,0.66197,0.44655323,84.841034,11.479727,6.797489
500207,353,0.51274973,0.7536188,0.456599,81.98539,8.341358,-0.73871934
500208,354,0.5438596,0.7611155,0.46087208,83.439026,10.5911875,6.697459
