ev_bin,la_bin,train_mass,obs_mass,conditional_contribution
8,3,0.0014332026331275456,0.0010812773930484595,7.148652665343617e-05
8,4,0.0015006970911997774,0.001543502843511923,2.641918887946292e-05
8,5,0.0016546688236770558,0.0015104867399073898,5.371013356162373e-05
8,6,0.0015787375583457954,0.0015269947917096564,7.982048556298025e-05
8,7,0.0012918861115388104,0.0013454062218847245,6.188332962754912e-05
8,8,0.0009164481885120214,0.0009492129786303269,1.0552551249165132e-05
8,9,0.0013910185968324007,0.0012958820664779247,7.717253937527128e-06
8,10,0.0014637860594415256,0.0012628659628733914,-1.1836681429874367e-05
8,11,0.0014521854494603608,0.0014031844031926572,-3.918169458206282e-06
8,12,0.00100925306836134,0.0009079428491246606,1.3820614511196538e-05
8,13,0.0015196799075325924,0.0013866763513903906,-1.4929893617547725e-05
8,14,0.0014342572340349242,0.001345406221884724,-0.0001398915100393719
8,15,0.001031399687416291,0.0008254025901133278,-8.219973614930317e-05
8,16,0.0015945565719564744,0.0013866763513903906,5.9798418258050894e-05
8,17,0.0015418265265875436,0.001427946480896057,6.250439882256316e-05
8,18,0.0019963595176677286,0.0019066799831617873,3.862741937354728e-05
8,19,0.0018328963770240427,0.001906679983161787,-3.50852404420153e-05
8,20,0.0017654019189518111,0.0014527085585994569,-5.025875605665947e-05
8,21,0.002623847057558008,0.002608272184758116,1.0753281032803467e-05
8,22,0.0029528825406601377,0.003351134515860111,-1.865778725185189e-05
8,23,0.002869569068977227,0.004836859178064101,-9.519207826072501e-06
9,0,0.000756148850590471,0.0010565153153450596,-2.1000302089375794e-05
9,1,0.002065963177554718,0.00203874439757992,6.6607896150972105e-06
9,2,0.0023064121844370436,0.002080014527085586,0.00011958678306190382
9,3,0.0015333897193285145,0.0013123901182801913,8.885562444224245e-05
9,4,0.001624085397363076,0.0015187407658085231,1.1316582573838435e-05
9,5,0.0017284908871935596,0.0015022327140062565,-3.80514598680759e-05
9,6,0.001790712340728898,0.0017993776464470545,0.00011533379195305068
9,7,0.0015059700957366705,0.0013701682995881242,8.419231437347853e-06
9,8,0.0010271812837867765,0.0010730233671473262,2.28805150133962e-05
9,9,0.0015249529120694855,0.0011885797297631919,-4.5326916562370874e-05
9,10,0.0015766283565310378,0.0015187407658085231,-8.657462281217062e-06
9,11,0.00159033816832696,0.0015517568694130564,7.732989087545817e-05
9,12,0.0010619831137302711,0.0009987371340371266,-2.478526669696695e-05
9,13,0.0017379822953599668,0.0015104867399073898,-7.168096557473561e-05
9,14,0.0017168902772123945,0.0020469984234810527,-0.00011543418537621074
9,15,0.0010904573382294939,0.0009904831081359933,2.7825598416081125e-05
9,16,0.0017137264744902588,0.0016260431025232557,5.037398764676756e-05
9,17,0.0016863068508984145,0.001725091413336855,7.128722779100285e-05
9,18,0.002341214014380538,0.002113030630690119,0.0001047428353770781
9,19,0.0021503312501450077,0.0020057282939753866,-3.52167853792413e-06
9,20,0.001960503086816856,0.0019231880349640537,2.6062368783100935e-08
9,21,0.002889606486217421,0.002913671143100047,1.8056734812633858e-05
9,22,0.0032112597629679004,0.0030952597129249794,-3.0669748178377224e-06
9,23,0.002797856207275481,0.004432411908908571,1.3516482630225573e-05
10,0,0.0005494470727442614,0.0006025438907827292,-2.2710205235390763e-05
10,1,0.0016093209846597752,0.0017415994651391216,2.2779388502432265e-05
10,2,0.0020786183884432615,0.002071760501184453,7.527987072885795e-05
10,3,0.0013889093950176434,0.001213341807466592,2.9193569409324914e-05
10,4,0.0015112431002735635,0.0015269947917096564,5.2673312653170655e-05
10,5,0.0016103755855671536,0.0015269947917096564,6.628794021424101e-05
10,6,0.001573464553808902,0.0016260431025232557,2.617686912417926e-05
10,7,0.0013140327305937614,0.0012050877815654585,-2.8303302027171698e-05
10,8,0.0009122297848825069,0.0008749267455201274,-3.583177372485604e-05
10,9,0.0013994554040914296,0.0012298498592688582,-6.520355152080459e-05
10,10,0.0014300388304054096,0.001370168299588124,2.665780145155907e-06
10,11,0.0015217891093473497,0.0013866763513903906,0.00018345080480541376
10,12,0.0010546009073786207,0.0010317532376416597,1.5503760484963496e-05
10,13,0.0015945565719564744,0.0014114384290937905,-9.891507068520913e-05
10,14,0.001573464553808902,0.0012298498592688584,7.496215984359054e-05
10,15,0.0010366726919531842,0.0009739750563337268,7.872931037626826e-05
10,16,0.0015703007510867663,0.0012546119369722581,5.909189104050716e-05
10,17,0.0015840105628826882,0.0014196924549949239,6.728350530741108e-05
10,18,0.0021471674474228715,0.001873663879557254,-3.250555769560946e-05
10,19,0.0020206153385374376,0.0018323937500515878,4.014938062659685e-05
10,20,0.004020138658927303,0.001700329335633455,2.0848472610590384e-06
10,21,0.002616464851206358,0.002550494003450183,3.9660017975344484e-06
